city,lat,lon,start,lost,liberated,changes,theatre,anchor,fronts,source,note
Вилейка,54.4864,26.9186,empire,1941-06-25,1944-07-02,,СССР,yes,,"общая хроника обороны Белоруссии 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Вильнюс,54.6872,25.2797,empire,1941-06-24,1944-07-13,,СССР,yes,3 БФ; Вильнюсская операция,"ru.wikipedia.org: 1941 год; общеизвестная хроника; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Винница,49.2331,28.4682,empire,1941-07-19,1944-03-20,,СССР,yes,1 УФ; Проскуровско-Черновицкая операция,"общая хроника Уманской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Витебск,55.1904,30.2049,empire,1941-07-11,1944-06-26,,СССР,yes,"1 ПрибФ, 3 БФ; Витебско-Оршанская операция","ru.wikipedia.org: Витебское сражение; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","город фактически занят 9-11.07, оккупация считается с 11.07"
Владимир-Волынский,50.8508,24.3131,empire,1941-06-23,1944-07-20,,СССР,yes,,"общая хроника приграничного сражения 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","приграничный город, взят на 2-й день войны"
Вознесенск,47.5667,31.3333,empire,1941-08-05,1944-03-24,,СССР,yes,3 УФ; частная наступательная операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Вокнаволок,64.9800,30.3000,empire,1941-07-30,1944-09-19,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Волковыск,53.1667,24.4500,empire,1941-06-28,1944-07-14,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Волоколамск,56.0367,35.9578,empire,1941-10-27,1941-12-20,,СССР,yes,,"общая хроника битвы за Москву 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Воронеж,51.6720,39.1843,empire,1942-07-06,1943-01-25,,СССР,yes,ВорФ; Воронежско-Касторненская операция,"общеизвестная хроника Воронежско-Ворошиловградской операции 1942; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",занята только правобережная (западная) часть города; левый берег и вост. районы удерживались РККА весь период; город был захвачен частично (не полностью оккупирован)
Выборг,60.7098,28.7539,empire,1941-08-29,1944-06-20,,СССР,yes,"ЛенФ, силы КБФ; Выборгская операция","ru.wikipedia.org: Сражение за Выборг (1941); «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Выру,57.8347,26.9958,empire,1941-07-08,1944-08-13,,СССР,yes,3 ПрибФ; Тартуская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Вязьма,55.2093,34.2966,empire,1941-10-07,1943-03-12,,СССР,yes,ЗапФ; Ржевско-Вяземская операция,"общая хроника Вяземской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","окружение замкнуто 07.10, город занят к 12.10"
Гатчина (Красногвардейск),59.5645,30.1279,empire,1941-09-13,1944-01-26,,СССР,yes,"ЛенФ, силы КБФ; Красносельско-Ропшинская операция","общая хроника обороны Ленинграда 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Гжатск (Гагарин),55.5539,35.0025,empire,1941-10-10,1943-03-06,,СССР,yes,,"общая хроника Вяземской операции 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Глухов,51.6706,33.9083,empire,1941-09-10,1943-08-30,,СССР,yes,ЦФ; Черниговско-Припятская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Гомель,52.4345,30.9754,empire,1941-08-19,1943-11-26,,СССР,yes,БФ (Белорусский фронт); Гомельско-Речицкая операция,"общая хроника Смоленского сражения / Гомельско-Трубчевской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Городок,55.4667,29.9833,empire,1941-07-10,1943-12-24,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Гродно,53.6884,23.8258,empire,1941-06-23,1944-07-16,,СССР,yes,"3 БФ, 2 БФ; Белостокская и Вильнюсская операции","belarusenc.by: Гродненские оборонительные бои 1941 (22-27.06.1941); «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","бои шли 22-27.06, город фактически пал 23.06"
Даугавпилс,55.8748,26.5361,empire,1941-06-26,1944-07-27,,СССР,yes,"2 ПрибФ, 1 ПрибФ; Режицко-Двинская и Шяуляйская операции","ru.wikipedia.org: Даугавпилс; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","дата ориентировочная, требует доп. уточнения по первоисточнику"
Демянск,57.6272,32.4694,empire,1941-09-09,1943-02-21,,СССР,yes,,"genproc.gov.ru: Демянский котёл в Новгородской области; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","город занят 8-9.09.1941; Демянский котёл: снабжался по воздуху, оставлен вермахтом 21.02.1943"
Джанкой,45.7086,34.3872,empire,1941-11-01,1944-04-11,,СССР,yes,4 УФ; Крымская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Днепропетровск,48.4647,35.0462,empire,1941-08-25,1943-10-25,,СССР,yes,3 УФ; Днепропетровская операция,"ru.wikipedia.org: Битва за Днепр; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Дно,57.8333,29.9667,empire,1941-07-19,1944-02-24,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Дорогобуж,54.9142,33.3025,empire,1941-10-09,1943-09-01,1941-10-09:foreign;1942-02-15:empire;1942-06-07:foreign;1943-09-01:empire,СССР,yes,советские партизаны; Ржевско-Вяземская операция,"общая хроника Вяземской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","город вновь занят противником после освобождения; между освобождениями город удерживался партизанами, затем вновь занят немцами"
Дрогобыч,49.3500,23.5000,empire,1941-06-30,1944-08-06,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Дубно,50.4211,25.7458,empire,1941-06-25,1944-03-17,,СССР,yes,,"ru.wikipedia.org: Сражение в районе Дубно-Луцк-Броды; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Евпатория,45.1914,33.3453,empire,1941-10-31,1944-04-13,,СССР,yes,4 УФ; Крымская операция,"общая хроника обороны Крыма 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Ейск,46.7106,38.2775,empire,1942-08-09,1943-02-05,,СССР,yes,СКФ; Северо-Кавказская операция,"общая хроника Битвы за Кавказ 1942; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Елгава,56.6511,23.7214,empire,1941-06-29,1944-08-01,,СССР,yes,1 ПрибФ; Шяуляйская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Елец,52.6236,38.4342,empire,1941-12-04,1941-12-09,,СССР,yes,,общая хроника Елецкой операции 1941,
Ельня,54.5822,33.1758,empire,1941-07-19,1943-08-30,1941-07-19:foreign;1941-09-06:empire;1941-10-06:foreign;1943-08-30:empire,СССР,yes,РезФ; Ельнинская операция,"общая хроника Ельнинской операции 1941; ru.wikipedia.org: Ельнинская операция; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","первая крупная наступательная операция РККА; первое освобождение (Ельнинская наступательная операция 1941 г.); город вновь занят противником после освобождения; повторно занят немцами в октябре 1941 г., окончательно освобождён в 1943 г."
Жиздра,53.7500,34.7333,empire,1941-10-05,1943-08-16,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Житомир,50.2547,28.6587,empire,1941-07-09,1943-12-31,1941-07-09:foreign;1943-11-12:empire;1943-11-19:foreign;1943-12-31:empire,СССР,yes,1 УФ; Киевская операция,"Битва за Днепр / Киевская операция 1941 — bigenc.ru; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","город вновь занят противником после освобождения; повторно занят немцами в ноябре 1943 г., окончательно освобождён 31.12.1943"
Жлобин,52.9000,30.0333,empire,1941-08-14,1944-06-26,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Запорожье,47.8388,35.1396,empire,1941-10-03,1943-10-14,,СССР,yes,ЮЗФ; Запорожская операция,"общая хроника Донбасской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/","занята только правобережная часть, левый берег и о.Хортица - линия фронта"
Идрица,56.3333,28.9000,empire,1941-07-16,1944-07-12,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Изюм,49.2158,37.2506,empire,1941-10-24,1943-09-05,1941-10-24:foreign;1942-01-24:empire;1942-05-26:foreign;1943-02-05:empire;1943-03-01:foreign;1943-09-05:empire,СССР,yes,ЮЗФ; Ворошиловградская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф","Барвенково-Лозовская операция 01.1942 создала изюмский выступ, он срезан в мае 1942; повторная потеря в марте 1943 и окончательное освобождение в Донбасской операции - по хронике операций, справочник даёт только 05.02.1943"
Истра,55.9147,36.8608,empire,1941-11-27,1941-12-11,,СССР,yes,,"общая хроника битвы за Москву 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",дата ориентировочная; отбита 11.12.1941
Кайралы,66.9000,29.4000,empire,1941-08-27,1944-09-19,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Калач-на-Дону,48.6889,43.5308,empire,1942-08-25,1942-11-23,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",замыкание кольца вокруг 6-й армии
Калинин (Тверь),56.8587,35.9176,empire,1941-10-14,1941-12-16,,СССР,yes,КалФ; Калининская операция,"общеизвестная хроника Калининской оборонительной операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Калуга,54.5293,36.2754,empire,1941-10-12,1941-12-30,,СССР,yes,ЗапФ; Калужская операция,"общая хроника битвы за Москву 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Каменец-Подольский,48.6833,26.5833,empire,1941-07-10,1944-03-26,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Каменск-Шахтинский,48.3186,40.2508,empire,1942-07-20,1943-02-13,,СССР,yes,ЮЗФ; Ворошиловградская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Карачев,53.1333,34.9833,empire,1941-10-06,1943-08-15,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Каунас,54.8985,23.9036,empire,1941-06-24,1944-08-01,,СССР,yes,3 БФ; Каунасская операция,"yadvashem.org: Каунас (Ковно); «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Каховка,46.7833,33.4833,empire,1941-09-01,1943-11-02,,СССР,yes,4 УФ; Мелитопольская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Кексгольм (Приозерск),61.0428,30.1219,empire,1941-08-21,1944-09-24,,СССР,yes,ЛенФ; в результате перемирия с Финляндией,"library.karelia.ru: Хроника Петрозаводска (и Карелии); «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Керчь,45.3417,36.4700,empire,1941-11-16,1944-04-11,1941-11-16:foreign;1941-12-30:empire;1942-05-15:foreign;1944-04-11:empire,СССР,yes,"ЗакФ, силы ЧФ; Керченско-Феодосийская десантная операция","общеизвестная хроника обороны Крыма 1941; pamyat-naroda.ru: Керченско-Феодосийская десантная операция; общеизвестная хроника Керченской операции 1942 (Operation Trappenjagd); «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",кратковременное освобождение десантом; город вновь занят противником после освобождения; окончательное освобождение
Кестеньга,65.8833,31.7833,empire,1941-08-07,1944-09-19,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Киев,50.4501,30.5234,empire,1941-09-19,1943-11-06,,СССР,yes,1 УФ; Киевская операция,"общеизвестная хроника Киевской оборонительной операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кингисепп,59.3733,28.6142,empire,1941-08-16,1944-02-01,,СССР,yes,,"общая хроника Лужского рубежа 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кировоград,48.5079,32.2623,empire,1941-08-14,1944-01-08,,СССР,yes,2 УФ; Кировоградская операция,"yadvashem.org: Кировоград; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кировоград-Знаменка,48.7167,32.6667,empire,1941-08-05,1943-12-09,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кисловодск,43.9050,42.7139,empire,1942-08-14,1943-01-11,,СССР,yes,,"stapravda.ru: Пять месяцев оккупации Кисловодска; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",встречается также дата 10-11.08; освобождён 11.01.1943 (5 месяцев оккупации)
Кишинёв,47.0105,28.8638,empire,1941-07-16,1944-08-24,,СССР,yes,3 УФ; Ясско-Кишинёвская операция,"общая хроника Молдавской операции 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Клайпеда (Мемель),55.7033,21.1443,empire,1941-06-22,1945-01-28,,СССР,yes,"1 ПрибФ, силы КБФ; Мемельская операция","«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",оккупационная дата не указана в справочнике (город был в составе Германии с 1939 г.); советская с 1939 г. (передача Мемеля Германии 22.03.1939 - до того литовский); взята в первый день войны
Клин,56.3328,36.7280,empire,1941-11-23,1941-12-15,,СССР,yes,ЗапФ; Клинско-Солнечногорская операция,"общая хроника битвы за Москву 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кобрин,52.2139,24.3667,empire,1941-06-23,1944-07-20,,СССР,yes,1 БФ; Люблин-Брестская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Ковель,51.2189,24.7108,empire,1941-06-28,1944-07-06,,СССР,yes,,"общая хроника приграничного сражения 1941; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Козельск,54.0433,35.7847,empire,1941-10-08,1941-12-28,,СССР,yes,ЗапФ; Калужская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Коломыя,48.5333,25.0333,empire,1941-07-02,1944-03-29,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Конотоп,51.2378,33.2028,empire,1941-09-09,1943-09-06,,СССР,yes,ЦФ; Черниговско-Припятская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф",
Коростень,50.9500,28.6500,empire,1941-08-07,1943-12-29,1941-08-07:foreign;1943-11-17:empire;1943-11-27:foreign;1943-12-29:empire,СССР,yes,1 УФ; Киевская оборонительная операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф","в ноябре 1943 г. кратковременно освобождён, затем вновь оставлен; город вновь занят противником после освобождения; окончательное освобождение"
Котельниково,47.6333,43.1333,empire,1942-08-02,1942-12-29,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Котовск,47.7500,29.5333,empire,1941-08-05,1944-03-30,,СССР,yes,,"хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Краматорск,48.7389,37.5847,empire,1941-10-26,1943-09-06,1941-10-26:foreign;1943-02-05:empire;1943-02-27:foreign;1943-09-06:empire,СССР,yes,ЮЗФ; Ворошиловградская операция,"«Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/; хроники операций и справочная литература; освобождение сверено с «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оциф","город вновь занят противником после освобождения; повторно занят немцами в феврале 1943 г. (контрудар под Харьковом), окончательно освобождён в сентябре 1943 г."
Краснодар,45.0355,38.9753,empire,1942-08-12,1943-02-12,,СССР,yes,СКФ; Краснодарская операция,"ru.wikipedia.org: Оборона Краснодара / Битва за Кавказ; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",
Кременчуг,49.0670,33.4204,empire,1941-09-09,1943-09-29,,СССР,yes,"СтепФ; наступление на полтавско-кременчугском направлении, форсирование Днепра","общая хроника Битвы за Днепр 1941; «Освобождение городов: Справочник по освобождению городов в период Великой Отечественной войны 1941-1945» (М.: Воениздат, 1985), раздел «СССР»; оцифровка militera.lib.ru/enc/liberation/",дата ориентировочная (плацдарм для киевского окружения)
