place,lat,lon,date,expect,why,source,note
Кампала,0.317,32.581,1975-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Кампала,0.317,32.581,1985-01-01,none,падение Амина 11.04.1979 закрывает окно,data/sphere/registry.csv,
Хартум,15.5,32.56,1970-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",country-data.com/cgi-bin/query/r-13451.html,
Хартум,15.5,32.56,1971-08-01,none,после подавления путча 22.07.1971 советники высланы,data/sphere/registry.csv,
Хартум,15.5,32.56,1975-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Хартум,15.5,32.56,1985-01-01,none,высылка 90 советников в 1977 году; Порт-Судан 2020 остаётся в disputed.csv,data/sphere/disputed.csv,
Виктория,-4.62,55.45,1975-01-01,none,до переворота 04—05.06.1977,data/sphere/registry.csv,
Виктория,-4.62,55.45,1980-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",country-data.com/cgi-bin/query/r-11752.html,
Виктория,-4.62,55.45,1995-01-01,none,программа помощи свёрнута к декабрю 1990 года,data/sphere/registry.csv,
Уагадугу,12.371,-1.519,1985-01-01,none,Буркина-Фасо эпохи Санкары в показ не заведена: советских поставок при нём нет ни одной,data/sphere/disputed.csv,
Хараре,-17.829,31.053,1985-01-01,none,"Зимбабве в показ не заведена: отношения только с 18.02.1981, советских советников Мугабе не принял",data/sphere/disputed.csv,
Бир-Лехлу,26.12,-9.652,1985-01-01,none,САДР в показ не заведена: советского признания не было,data/sphere/disputed.csv,
Рангун,16.866,96.195,1975-01-01,none,"Бирма в показ не заведена: ни договора, ни советников, ни советского оружия",data/sphere/disputed.csv,
Дакка,23.777,90.4,1965-01-01,none,"государства ещё нет, контур CShapes начинается 16.12.1971",data/sphere/registry.csv,
Дакка,23.777,90.4,1973-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Дакка,23.777,90.4,1976-01-01,none,переворот 15.08.1975 закрывает окно,data/sphere/registry.csv,
Джакарта,-6.208,106.846,1958-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",data/sphere/registry.csv,
Джакарта,-6.208,106.846,1962-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","Foreign Affairs, июль 1962",
Джакарта,-6.208,106.846,1970-01-01,none,в марте 1966 Москва отозвала всех специалистов,data/sphere/registry.csv,
Лима,-12.046,-77.043,1968-01-01,none,до дипотношений февраля 1969 года,data/sphere/registry.csv,
Лима,-12.046,-77.043,1974-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",SIPRI Arms Transfers Database,
Лима,-12.046,-77.043,1985-01-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту",data/sphere/registry.csv,
Лима,-12.046,-77.043,1995-01-01,none,окно закрыто распадом СССР,data/sphere/registry.csv,
Сантьяго,-33.449,-70.669,1965-01-01,none,до инаугурации Альенде 03.11.1970,data/sphere/registry.csv,
Сантьяго,-33.449,-70.669,1972-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту",Estudios Públicos № 72 (1998),
Сантьяго,-33.449,-70.669,1975-01-01,none,"переворот 11.09.1973, разрыв отношений 22.09.1973",data/sphere/registry.csv,
Гренвилл,12.1167,-61.6167,1979-06-01,none,до дипотношений 07.09.1979,data/sphere/registry.csv,
Гренвилл,12.1167,-61.6167,1982-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","«Grenada Documents: An Overview and Selection», док. 13–15",
Гренвилл,12.1167,-61.6167,1985-01-01,none,"вторжение США 25.10.1983, разрыв отношений",data/sphere/registry.csv,
Джорджтаун,6.802,-58.155,1972-01-01,none,"дипотношения с 17.12.1970, но эпизода до декабря 1975 года нет",data/sphere/registry.csv,
Джорджтаун,6.802,-58.155,1976-06-01,none,"снято 28.08.2026 по решению куратора: в слое остаётся только присутствие империи на земле - свои войска, база, пункт обеспечения. Поставки оружия, советники и обучение подчинением не являются. Строка оставлена сторожем, чтобы советники не вернулись на карту","FRUS 1969–1976 т. E-11 ч. 1, док. 379",
Джорджтаун,6.802,-58.155,1980-01-01,none,"союзы и помощь выведены из показа 27.08.2026 по решению куратора: слой показывает сферу влияния империи, а не партнёрство. Строка оставлена сторожем — чтобы союзный договор не вернулся на карту","UNTS т. 1205, № I-19290",
Джорджтаун,6.802,-58.155,1990-01-01,none,смерть Бёрнхема 06.08.1985 и поворот к Западу,data/sphere/registry.csv,
Пемба,-12.9740,40.5178,2019-10-01,client_military,"«Вагнер» в Кабо-Делгаду с сентября 2019, около 200 человек",The Moscow Times 31.10.2019; Daily Maverick 29.11.2019,
Пемба,-12.9740,40.5178,2020-06-01,none,развёртывание свёрнуто в ноябре 2019 после потерь,Daily Maverick 29.11.2019,
Лейпциг,51.3400,12.3750,1992-06-01,client_military,Западная группа войск на территории объединённой Германии до 31.08.1994,договор 12.10.1990; вывод завершён 31.08.1994,
Лейпциг,51.3400,12.3750,1995-01-01,none,вывод Западной группы войск завершён 31.08.1994,церемония в Трептов-парке 31.08.1994,
Гавана,23.1136,-82.3666,1962-08-01,client_military,окно слито 28.08.2026 и открыто приходом первого судна «Анадыря» 26.07.1962 - до этого стояла отдельная строка на поставках оружия,"Розин А., alerozin.narod.ru/Cuba62/Cuba1962-4.htm",
Виктория,-4.6167,55.4500,1981-12-15,client_military,советские боевые корабли в Виктории с 28.11.1981 после налёта наёмников,окно обрезано до реальной стоянки кораблей,
