city,lat,lon,start,lost,liberated,changes,region,anchor,source,note
Павлоград,48.5317,35.8704,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Полтава,49.5897,34.5508,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Прилуки,50.5951,32.3867,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Ровно,50.6196,26.2513,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Ромны,50.7421,33.4877,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Сумы,50.9120,34.8028,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"бои на окраинах 24-26.02.2022, город удержан"
Тернополь,49.5558,25.5924,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Ужгород,48.6224,22.3023,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Умань,48.7498,30.2203,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Харьков,49.9923,36.2310,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"здание областной администрации занимали 6-8 апреля 2014 года, контроля это не дало; в 2022 году город не занят"
Хмельницкий,49.4196,26.9794,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Черкассы,49.4447,32.0588,foreign,,,,"Украина, вне зоны занятия",yes,опорная точка: пункт под контролем Украины весь период слоя,
Чернигов,51.4941,31.2943,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"город был окружён с 26.02.2022, но занят не был"
Шостка,51.8644,33.4729,foreign,,,,"Украина, вне зоны занятия",yes,украинские хроники и пресса: документа уровня ООН или Европейского суда по правам человека на эту дату нет,"город был отрезан, но не занят"
Азов,47.1139,39.4260,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Белгород,50.5956,36.5873,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Богучар,49.9324,40.5545,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Брянск,53.2424,34.3668,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Брянск-запад,52.5853,32.7603,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Валуйки,50.2113,38.1002,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Воронеж,51.6606,39.2006,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Гуково,48.0460,39.9487,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Донецк (Ростовская обл.),48.3383,39.9509,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Каменск-Шахтинский,48.2755,40.2318,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Курск,51.7270,36.1922,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Миллерово,48.9196,40.3919,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Новозыбков,52.5365,31.9335,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Новошахтинск,47.7963,39.8936,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Россошь,50.1983,39.5630,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Ростов-на-Дону,47.2223,39.7199,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Рыльск,51.5705,34.6835,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Таганрог,47.2155,38.9284,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Шахты,47.7095,40.2155,empire,,,,по ту сторону границы,yes,"опорная точка: территория самой империи, сторона не менялась","в показ не идёт - лежит вне рамки театра; нужен, чтобы линия у границы не провисала внутрь Украины"
Балаклея,49.4521,36.8398,foreign,2022-03-03,,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,часть источников даёт 04.03.2022
Бородянка,50.6438,29.9278,foreign,2022-02-26,2022-04-01,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,
Буча,50.5503,30.2107,foreign,2022-02-27,2022-03-31,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,дату полного занятия источники дают в диапазоне 27.02-12.03.2022
Волчанск,50.2929,36.9370,foreign,2022-02-24,,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"приграничный город, занят в первый день; точного числа источники не дают"
Глухов,51.6783,33.9093,foreign,2022-02-25,2022-04-02,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,то же
Гостомель,50.5883,30.2591,foreign,2022-02-24,2022-04-01,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,бой за аэродром «Антонов» в первый день вторжения; 02.04.2022 Киевская область объявлена освобождённой
Дымер,50.7864,30.3039,foreign,2022-02-25,2022-04-01,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,
Иванков,50.9330,29.9043,foreign,2022-02-25,2022-04-01,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,
Изюм,49.1913,37.2784,foreign,2022-04-01,,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"заявления о взятии города звучали с середины марта, Институт изучения войны их опровергал; полный контроль источники относят к 01.04.2022"
Конотоп,51.2397,33.2067,foreign,2022-02-25,2022-04-02,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"вывод войск из Сумской области завершился в первых числах апреля; на снимке DeepStateMAP от 03.04.2022 область свободна, поэтому окно закрывается 02.04.2022"
Купянск,49.7133,37.6142,foreign,2022-02-27,,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,город оставался занятым до сентября 2022 года - за пределами окна слоя
Макаров,50.4640,29.8069,foreign,2022-02-27,2022-03-25,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,источники сильно расходятся: от 03.03 до 25.03.2022
Славутич,51.5201,30.7562,foreign,2022-03-27,2022-03-31,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,город был в осаде с 18.03.2022
Тростянец,50.4805,34.9647,foreign,2022-03-01,2022-03-26,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"один из первых городов, возвращённых под контроль Украины"
Чернобыль,51.2705,30.2196,foreign,2022-02-24,2022-03-31,,"север и северо-восток, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"зона Чернобыльской АЭС занята в первый день вторжения, оставлена 31.03.2022"
Кишинёв,47.0245,28.8323,foreign,,,,соседи,yes,опорная точка: держит поле от расползания на запад,
Люблин,51.2506,22.5701,foreign,,,,соседи,yes,опорная точка: держит поле от расползания на запад,
Яссы,47.1616,27.5838,foreign,,,,соседи,yes,опорная точка: держит поле от расползания на запад,
Белозёрка,46.6308,32.4454,foreign,2022-03-01,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","даты в источниках нет, идёт за Херсоном"
Бердянск,46.7557,36.7888,foreign,2022-02-27,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"порт и аэродром заняты 26.02.2022, о полном контроле объявлено 27.02.2022"
Берислав,46.8358,33.4167,foreign,2022-03-01,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"источники дают только месяц - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Василевка,47.4432,35.2803,foreign,2022-03-01,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"источники дают «начало марта» - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Геническ,46.1662,34.8089,foreign,2022-02-24,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,первый занятый город: колонны от Перекопа прошли его в первый день
Гола Пристань,46.5320,32.5345,foreign,2022-03-01,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",даты в источниках нет; на снимке DeepStateMAP от 03.04.2022 занята
Днепрорудное,47.3899,35.0028,foreign,2022-03-01,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",то же приближение
Каховка,46.8055,33.4818,foreign,2022-02-26,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,
Мелитополь,46.8467,35.3827,foreign,2022-02-26,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,часть источников даёт 25.02.2022 - расхождение в один день
Новая Каховка,46.7583,33.3567,foreign,2022-02-25,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"плотина Каховской ГЭС занята 24.02.2022, сам город - 25.02.2022"
Олешки,46.6261,32.7220,foreign,2022-02-27,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)","даты в источниках нет; левый берег напротив Херсона занят раньше самого города, на снимке от 03.04.2022 занят"
Пологи,47.4785,36.2531,foreign,2022-03-03,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,вошли 3 марта после боя с территориальной обороной
Приморск,46.7343,36.3472,foreign,2022-02-27,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",идёт за Бердянском
Скадовск,46.1204,32.9103,foreign,2022-03-01,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"источники дают только месяц - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Снигирёвка,47.0707,32.7925,foreign,2022-03-19,,,"юг, 2022",yes,"DeepStateMAP, снимок 03.04.2022 (первый день посуточного слоя)",точной даты в источниках нет; на снимке DeepStateMAP от 03.04.2022 занята
Токмак,47.2550,35.7092,foreign,2022-03-01,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"источники дают «начало марта» - день в источниках не назван, стоит дата ближайшего датированного события в этом же кусте - приближение"
Херсон,46.6401,32.6144,foreign,2022-03-01,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"РАСХОЖДЕНИЕ: 1 марта 2022 года российские войска вошли в город и в бою с территориальной обороной сломили сопротивление, 2 марта заняли здание горсовета - мэр Игорь Колыхаев сообщил, что в здание вошли российские офицеры, а министерство обороны России заявило о «полном контроле». Карта идёт по контролю на местности, поэтому стоит 1 марта; дата занятия горсовета - 2 марта"
Чаплинка,46.3618,33.5380,foreign,2022-02-25,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,"отдельной даты в источниках нет; через район шли колонны от Перекопа, дата взята по Новой Каховке - приближение"
Чернобаевка,46.6927,32.5455,foreign,2022-02-27,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,аэродром под Херсоном занят раньше города
Энергодар,47.4901,34.6603,foreign,2022-03-04,,,"юг, 2022",yes,сводки Института изучения войны (ISW) и украинские официальные сообщения,вместе с Запорожской АЭС - первый в истории захват действующей атомной станции в ходе боевых действий
