acquisition,date,act,city,lat,lon,expect_in_empire,source,note
Белостокская область БССР,1939-10-01,вторжение РККА 17.09.1939; линия - Дополнительный протокол 04.10.1939,Белосток,53.132,23.169,yes,"Дополнительный протокол к германо-советскому договору о дружбе и границе 04.10.1939, разд. I (Ведомости ВС СССР 1940 № 10 (73); RGBl. 1940 II Nr. 1, S. 4 ff.); указ Президиума ВС СССР об образовании Белостокской области 04.12.1939",главная проверка западной границы 1939-1941: до правки 26.08.2026 линия шла по Западному Бугу и Белосток оставался чёрным
Белостокская область БССР,1946-01-01,договор о советско-польской государственной границе 16.08.1945,Белосток,53.132,23.169,no,договор между СССР и Польской Республикой о советско-польской государственной границе 16.08.1945,"негативная проверка: после войны Белосток вернулся Польше, окно куска закрыто 22.06.1941"
Белостокская область БССР,1939-10-01,вторжение РККА 17.09.1939; линия по Нареву и Писсе (протокол 04.10.1939),Ломжа,53.178,22.059,yes,"Дополнительный протокол 04.10.1939, разд. I, сегменты 13-15 (Писса - Нарев); Ломжа - районный центр Белостокской области БССР",проверка Наревского участка: линия идёт по Писсе и Нареву восточнее Остроленки
Белостокская область БССР,1939-10-01,вторжение РККА 17.09.1939; линия по Чёрной Ганьче и Волкушанке (протокол 04.10.1939),Августов,53.844,22.980,yes,"Дополнительный протокол 04.10.1939, разд. I, сегменты 2-9 (Щебра - СССР, Близна - Германия)",проверка Сувалкского участка с советской стороны линии
Сувалкский выступ (Германии),1939-10-01,отошёл Германии по договору о дружбе и границе 28.09.1939,Сувалки,54.099,22.928,no,"Дополнительный протокол 04.10.1939, разд. I, сегмент 9 (перекрёсток дорог Сувалки - Щебра II)",негативная проверка: Сувалки и Сейны в советскую сферу не входили - линия оставляла их Восточной Пруссии
Правобережье Сана,1939-10-01,вторжение РККА 17.09.1939; линия по Сану (протокол 04.10.1939),Медыка,49.805,22.928,yes,"Дополнительный протокол 04.10.1939, разд. I, сегмент 41 (вверх по Сану до истока)",проверка Санского участка: Медыка восточнее Сана - советская сторона линии
Левобережье Сана (Германии),1939-10-01,линия рассекла Перемышль по Сану (протокол 04.10.1939),Пшемысль-Засанье,49.794,22.753,no,"Дополнительный протокол 04.10.1939, разд. I, сегмент 41; Примечание 1 (на судоходных реках граница по середине главного фарватера)","негативная проверка: город разделён по Сану, левобережное Засанье - германское, правобережный Перемышль с Рынком и замком - советский"
Северщина 1503,1500-06-01,до Благовещенского перемирия 25.03.1503,Чернигов,51.494,31.289,no,"Атлас УІФ, розд. 6; Сборник РИО т. 35","негативная проверка: до 1503 года Чернигов литовский - у нас он краснел только с 08.01.1654, на 151 год позже"
Северщина 1503,1510-06-01,Благовещенское перемирие 25.03.1503,Чернигов,51.494,31.289,yes,"Сборник РИО т. 35 (посольские книги по связям с ВКЛ); ПСРЛ т. 8; Атлас УІФ, розд. 6",приобретение приближено Черниговской областью
Северщина 1503,1510-06-01,Благовещенское перемирие 25.03.1503,Стародуб,52.585,32.863,yes,"Сборник РИО т. 35; Атлас УІФ, розд. 6",приближено Брянской областью
Северщина 1503,1500-06-01,до Благовещенского перемирия 25.03.1503,Сумы (Посулье),50.907,34.799,no,"Атлас УІФ, розд. 6",негативная проверка по Сумщине
Смоленск 1514,1505-06-01,до взятия Смоленска 31.07.1514,Смоленск,54.782,32.045,no,"ПСРЛ т. 8; Атлас УІФ, розд. 7",негативная проверка: две осады 1513 года город выдержал
Смоленск 1514,1520-06-01,капитуляция смоленского гарнизона 31.07.1514,Смоленск,54.782,32.045,yes,"ПСРЛ т. 8; ПСРЛ т. 13; Атлас УІФ, розд. 7",до правки 26.08.2026 Смоленск появлялся скачком на срезе источника 1600 года
Смута: Смоленск у Речи Посполитой,1620-06-01,войско польского короля Сигизмунда III вошло в город 03.06.1611; уступка закреплена Деулинским перемирием 01.12.1618,Смоленск,54.782,32.045,no,"ПСРЛ т. 14; текст Деулинского перемирия 01.12.1618; Атлас УІФ, розд. 20",главная проверка Смуты: до правки 26.08.2026 Смоленск числился имперским непрерывно с 1600 года
Смута: Смоленск у Речи Посполитой,1650-06-01,Поляновский мир 04.06.1634 Смоленск не вернул - Москве отошёл только Серпейск,Смоленск,54.782,32.045,no,"текст Поляновского мира 04.06.1634; Атлас УІФ, розд. 22",Смоленская война 1632-1634 годов кончилась капитуляцией русской армии в феврале 1634
Смута: возврат Смоленска,1660-06-01,"гарнизон капитулировал 23.09.1654, город занят царским войском",Смоленск,54.782,32.045,yes,Акты Московского государства т. 2; ПСРЛ т. 14; дворцовые разряды 1654 г.,"ДАТА КОНТРОЛЯ, а не акта: юридически уступка оформлена Андрусовским перемирием 30.01.1667. Куратор в задании ждал на 1660 год «вне империи» (то есть дату Андрусова) - поставлено «в империи» по факту: с сентября 1654 года и до конца войны Смоленск из рук не выходил"
Смута: возврат Смоленска,1670-06-01,Андрусовское перемирие 30.01.1667 закрепило Смоленск за Москвой,Смоленск,54.782,32.045,yes,"текст Андрусовского перемирия 30.01.1667; Атлас УІФ, розд. 28","де-юре закрепление того, что занято в 1654 году"
Смута: шведская оккупация Новгорода,1615-06-01,войско шведского фельдмаршала Якоба Делагарди вошло в Новгород 16.07.1611,Великий Новгород,58.521,31.271,no,"Новгородский оккупационный архив (Riksarkivet); ПСРЛ т. 14; Атлас УІФ, розд. 20",вторая главная проверка Смуты: шесть лет шведского управления
Смута: Столбовский мир,1620-06-01,Новгород возвращён Столбовским миром 27.02.1617,Великий Новгород,58.521,31.271,yes,"текст Столбовского мира 27.02.1617; Атлас УІФ, розд. 20","город вернулся, выход к Балтике - нет"
Тявзинский мир 1595,1605-06-01,Ижора и Корела возвращены Тявзинским миром 18.05.1595,Санкт-Петербург (Ниеншанц),59.939,30.316,yes,текст Тявзинского договора 1595 г.; ПСРЛ т. 14,"контур источника на 1600 год рисует Ивангород, Корелу и Орешек вне империи - это картина 1583-1595 и 1617+ годов; чиним курируемым добавлением на окно 1600-1617"
Смута: Столбовский мир,1650-06-01,Ижора и Корела отошли Швеции по Столбовскому миру 27.02.1617,Санкт-Петербург (Ниеншанц),59.939,30.316,no,"текст Столбовского мира 27.02.1617; Атлас УІФ, розд. 20 - больше 82 000 км² с выходом к Балтике",негативная проверка: вернулось только Ништадтским миром 30.08.1721
Смута: Столбовский мир,1650-06-01,Корельский уезд отошёл Швеции 27.02.1617,Приозерск (Корела),61.038,30.129,no,текст Столбовского мира 27.02.1617,негативная проверка по Кореле
Смута: Деулинское перемирие,1620-06-01,Черниговщина и Новгород-Северщина отошли Речи Посполитой 01.12.1618,Чернигов,51.494,31.289,no,"текст Деулинского перемирия 01.12.1618; Атлас УІФ, розд. 20 - около 80 000 км²",негативная проверка Деулина
Смута: Деулинское перемирие,1620-06-01,Стародуб отошёл Речи Посполитой 01.12.1618,Стародуб,52.585,32.863,no,текст Деулинского перемирия 01.12.1618,негативная проверка Деулина по Стародубщине
Смута: рамка Деулина,1620-06-01,Путивль по Деулинскому перемирию не уступался,Путивль,51.336,33.87,yes,текст Деулинского перемирия 01.12.1618,"проверка рамки: Путивль и Рыльск остались у Москвы, вычитание их не задевает"
Смута: рамка Деулина,1620-06-01,Брянск по Деулинскому перемирию не уступался,Брянск,53.243,34.364,yes,текст Деулинского перемирия 01.12.1618,проверка рамки: сам Брянск у Москвы и остался
Смута: возврат Черниговщины,1660-06-01,Переяславская рада 08.01.1654 вернула Левобережье с Черниговским полком,Чернигов,51.494,31.289,yes,"Акты ЮЗР т. 10; Атлас УІФ, розд. 26",закрытие окна Деулина
Танну-Тува 1921-1944,1930-06-01,"независимость с 14.08.1921, признана РСФСР 22.07.1925",Кызыл,51.719,94.454,no,"Атлас УІФ, розд. 44 п. 11",негативная проверка: до правки 26.08.2026 контур CShapes держал Туву внутри СССР
Танну-Тува 1921-1944,1943-06-01,ТНР - формально независимое государство,Кызыл,51.719,94.454,no,"Атлас УІФ, розд. 44 п. 11",негативная проверка внутри окна Второй мировой
Тува в составе СССР,1950-06-01,ТНР принята в состав СССР 11.10.1944,Кызыл,51.719,94.454,yes,"постановление Президиума ВС СССР 11.10.1944; Атлас УІФ, розд. 47 п. 41",до правки Тува краснела с 12.03.1940 - на четыре с половиной года раньше
Батумская область,1900-06-01,Берлинский трактат 01.07.1878,Батуми,41.642,41.636,yes,"ПСЗРИ (2-е собр.) т. 53 № 58785; Атлас УІФ, розд. 40","контур CShapes 1886 года режет побережье так, что точка Батуми выпадает из полигона; чинится приобретением GEO_AJARIA"
Батумская область,1950-06-01,"Аджарская АССР образована 16.07.1921, из состава СССР не выходила",Батуми,41.642,41.636,yes,"Атлас УІФ, розд. 40 и 44",тот же дефект берега в контурах CShapes 1921-1946 годов; чинится курируемым добавлением позднего окна
Батумская область,1995-06-01,Грузия вышла 09.04.1991,Батуми,41.642,41.636,no,Акт о восстановлении государственной независимости Грузии 09.04.1991,негативная проверка: заплата на Батуми снимается вместе с Грузией
Литва: акт против контроля,1990-06-01,Акт о восстановлении независимости 11.03.1990 - но контроль остался у империи,Вильнюс,54.687,25.28,yes,"постановление Госсовета СССР № ГС-1 от 06.09.1991; Атлас УІФ, розд. 52","РЕШЕНИЕ ПО НАШЕЙ ЖЕ РАМКЕ: показываем контроль, а не декларацию. С апреля 1990 шла экономическая блокада, в ночь на 13.01.1991 войска и ОМОН заняли вильнюсскую телебашню - империя территорию держала. Из контура Литва уходит 21.08.1991"
Литва вне империи,1991-09-01,провал путча 21.08.1991; Госсовет СССР признал независимость 06.09.1991,Вильнюс,54.687,25.28,no,постановление Госсовета СССР № ГС-1 от 06.09.1991,позитивная сторона того же решения
Украина в СССР,1991-06-01,до Акта провозглашения независимости 24.08.1991,Киев,50.45,30.523,yes,Акт проголошення незалежності України 24.08.1991,рамка: до акта республика в контуре
Украина вне империи,1991-09-01,Акт провозглашения независимости 24.08.1991 и подчинение войск Верховной Раде,Киев,50.45,30.523,no,Акт проголошення незалежності України 24.08.1991; постановление Верховной Рады от 24.08.1991: «О воинских формированиях на Украине»,"РЕШЕНИЕ: 24.08.1991, а не референдум 01.12.1991 - в тот же день Рада забрала себе все войска на территории республики, то есть контроль"
Грузия в СССР,1991-03-01,до Акта о восстановлении независимости 09.04.1991,Тбилиси,41.716,44.783,yes,текст Акта 09.04.1991,рамка
Грузия вне империи,1991-06-01,Акт о восстановлении государственной независимости 09.04.1991,Тбилиси,41.716,44.783,no,"текст Акта 09.04.1991 по итогам референдума 31.03.1991; Атлас УІФ, розд. 52",республика не проводила всесоюзный референдум 17.03.1991 и Союзный договор не подписывала
Эстония в СССР,1991-08-01,до постановления о государственной независимости 20.08.1991,Таллин,59.437,24.753,yes,постановление Госсовета СССР № ГС-2 от 06.09.1991,рамка
Эстония вне империи,1991-09-01,постановление ВС 20.08.1991 и провал путча 21.08.1991,Таллин,59.437,24.753,no,постановление Госсовета СССР № ГС-2 от 06.09.1991,три прибалтийские республики выходят одной датой 21.08.1991
Казахстан в СССР,1991-11-01,до конституционного закона о независимости 16.12.1991,Алматы,43.238,76.886,yes,"Ведомости ВС Казахской ССР, 1991",последняя из пятнадцати республик
Казахстан вне империи,1991-12-20,конституционный закон о государственной независимости 16.12.1991,Алматы,43.238,76.886,no,"Ведомости ВС Казахской ССР, 1991",закрытие парада суверенитетов
Роспуск СССР,1991-12-28,декларация Совета Республик ВС СССР № 142-Н от 26.12.1991,Москва,55.751,37.618,yes,декларация № 142-Н от 26.12.1991; Беловежское соглашение 08.12.1991,рамка: ядро остаётся
Роспуск СССР,1991-12-28,декларация Совета Республик ВС СССР № 142-Н от 26.12.1991,Минск,53.902,27.567,no,закон БССР 25.08.1991; декларация № 142-Н от 26.12.1991,Беларусь с 26.12.1991 идёт отдельным слоем несуверенного сателлита
Ленский край,1690-01-01,после последнего якутского восстания 1683-1684,Якутск,62.028,129.732,yes,"ВИКИПЕДИЯ, «История Якутии»: семь восстаний, последнее 1683-1684",контроль установлен после подавления последнего восстания
Хонгорай,1700-01-01,кыргызы держат Средний Енисей,"Хакасия, Аскизский район",53.500,90.500,no,"ВИКИПЕДИЯ, «Присоединение Хакасии к России»",до угона кыргызов джунгарами в 1703 году империя Хонгораем не распоряжалась Точка сдвинута вглубь Хакасии: сам Абакан стоит на границе с Красноярским краем и в контур Natural Earth не попадает.
Хонгорай,1760-01-01,клятва хонгорцев 1757 года,"Хакасия, Аскизский район",53.500,90.500,yes,ВИКИПЕДИЯ: 1757 - год фактического закрепления Хакасии,после клятвы о «вечном подданстве» Точка сдвинута вглубь Хакасии: сам Абакан стоит на границе с Красноярским краем и в контур Natural Earth не попадает.
Горный Алтай,1750-01-01,Алтай за телеутами и Джунгарией,Горно-Алтайск,51.958,85.960,no,"ВИКИПЕДИЯ, «История Республики Алтай»",до указа Елизаветы 02.05.1756 и присяги осени 1756 года
Горный Алтай,1760-01-01,присяга осени 1756 года,Горно-Алтайск,51.958,85.960,yes,"ВИКИПЕДИЯ: указ 02.05.1756, приём в крепостях Колывано-Кузнецкой линии",к концу сентября 1756 присягнуло большинство кочевого населения
Бурятия,1700-01-01,после ухода бурят в Халху 1658,Улан-Удэ,51.834,107.584,no,"ВИКИПЕДИЯ, «Буряты»",до Буринского договора 20.08.1727 бурятские земли не разграничены
Бурятия,1730-01-01,Буринский договор 20.08.1727,Улан-Удэ,51.834,107.584,yes,"ВИКИПЕДИЯ, «Буряты»: буряты разделены между двумя государствами",после разграничения с Цинами
Чукотка,1800-01-01,завоевания не было,"Чукотка, центр полуострова",66.000,172.000,no,"ВИКИПЕДИЯ, «Завоевание Чукотки»: острог ликвидирован указом 04.05.1764, укрепления срыты в 1771",ОБЯЗАТЕЛЬНАЯ: в 1800 году империи на Чукотке нет ни пятном Точка сдвинута вглубь полуострова: у Анадыря контур Natural Earth разрезан антимеридианом и проверка ненадёжна.
Чукотка,1900-01-01,пост Ново-Мариинск 03.08.1889,"Чукотка, центр полуострова",66.000,172.000,yes,указ 09.07.1888 об учреждении Анадырской округи,после основания пограничного поста Точка сдвинута вглубь полуострова: у Анадыря контур Natural Earth разрезан антимеридианом и проверка ненадёжна.
Камчатка,1760-01-01,после 1748 года,Петропавловск-Камчатский,53.020,158.650,yes,"ВИКИПЕДИЯ и Киберленинка: восстание 1746 года, участники высланы в Охотск к 1748",контроль после подавления последнего выступления
Барабинская степь,1740-01-01,двоеданство,Барабинск,55.350,78.350,no,"документ 1731 года: барабинцы платят ясак и России, и джунгарскому контайше","пока народ платит двум державам, ни одна им не распоряжается"
Барабинская степь,1760-01-01,гибель Джунгарии 1755,Барабинск,55.350,78.350,yes,разгром Джунгарии Цинами в 1755 году,"дата по гибели Джунгарии, точной даты последней выплаты нет"
Томская и Кузнецкая земли,1690-01-01,кыргызские набеги,Кузнецк (Новокузнецк),53.757,87.166,no,"набеги 1614, 1621, при Еренаке; осада Кузнецка 18-25.09.1700",Томск поставлен в 1604 КАК КРЕПОСТЬ против джунгар и кыргызов
Томская и Кузнецкая земли,1710-01-01,угон кыргызов 1703,Кузнецк (Новокузнецк),53.757,87.166,yes,набеги прекратились после угона енисейских кыргызов джунгарами в 1703,контроль после исчезновения кыргызской угрозы
Прибайкалье,1660-01-01,откочёвка в Халху 1658,Иркутск,52.287,104.280,no,"восстание унгинских и окинских бурят против Ивана Похабова, июнь 1658; в 1659 году ясака в Балаганский острог почти не поступало","в эти годы империя степью не распоряжается: население ушло к монголам"
Прибайкалье,1700-01-01,возвращение и возобновление ясака 1667,Иркутск,52.287,104.280,yes,"часть откочевавших вернулась в 1667 году и снова стала платить ясак","Прибайкалье разведено с Забайкальем 28.08.2026: Буринский договор делил забайкальских бурят, к балаганской степи он отношения не имеет"
Таймыр,1700-01-01,ясак берут в зимовьях,Дудинка,69.406,86.178,no,"ВИКИПЕДИЯ, «Нганасаны»: обложение ясаком по группам 1618-1627, восстания 1666 и 1683, сопротивление в первой половине XVIII века","ЗАХВАТА НЕ БЫЛО: ясак брали в зимовьях, куда кочевники приходили сами, в тундру администрация не ходила"
Таймыр,1900-01-01,зимовья и торг,Хатанга,71.980,102.470,no,"ВИКИПЕДИЯ, «Нганасаны»: советская власть впервые дошла до нганасан в 1921 году","до XX века на Таймыре нет ни одного окружного центра"
Таймыр,1935-01-01,Таймырский национальный округ 10.12.1930,Норильск,69.356,88.189,yes,"постановление ВЦИК 10.12.1930: округ с центром в Дудинке и четырьмя районами - Авамский, Дудинский, Хатангский, Усть-Енисейский","управление заведено на самой земле; 1931-1938 коллективизация, 1935 Норильск"
Арктическая Якутия,1700-01-01,ясачные зимовья,Верхоянск,67.550,133.390,no,"ВИКИПЕДИЯ, «Юкагиры»: восстания 1645, 1649, 1661, 1663-1664, последнее - Канивы 1681-1684","восстание 1683-1684 закрыло Ленско-Амгинское междуречье, но не Яну с Колымой"
Арктическая Якутия,1790-01-01,комиссарства,Среднеколымск,67.460,153.710,no,"Учреждение для управления Сибирских губерний 1822 года разделило Якутскую область на пять округов","до 1822 года на севере нет окружного управления: Верхоянское комиссарство собрано только в 1805 году"
Арктическая Якутия,1830-01-01,округа по Уставу 1822,Верхоянск,67.550,133.390,yes,"пять округов Якутской области: Якутский, Вилюйский, Олёкминский, Верхоянский, Среднеколымский","с этого времени на севере свои окружные центры с постоянной администрацией"
Чуйские двоеданцы,1800-01-01,двоеданство продолжается,Кош-Агач,50.000,88.670,no,"телесы и теленгиты платят дань и России, и Цинскому Китаю",ОБЯЗАТЕЛЬНАЯ: указ 1756 года юго-восток Алтая не закрыл
Чуйские двоеданцы,1885-01-01,последний платёж Китаю 1866,Кош-Агач,50.000,88.670,yes,"Чугучакский протокол 1864 года, последняя дань Китаю в 1866","двоеданство кончилось только в 1860-х Дата проверки сдвинута на 1885: у источника ближайший срез, знающий Чуйскую степь российской, - 1880 год, до него контур туда не доходит."
Башкирские земли,1700-01-01,подданство 1554-1557 было словами,Уфа,54.735,55.958,no,"восстания 1662-1664, 1681-1684, 1704-1711 (свой хан у Башкирской орды), 1735-1740","до войны 1735-1740 империя башкирской землёй не распоряжалась; Уфа - точка, как Якутск до 1684"
Башкирские земли,1750-01-01,подавление восстания 1735-1740,Уфа,54.735,55.958,yes,"указ о посылке войск 16.02.1736; 45-60 тысяч убитых и пленных, 1175 сожжённых селений; Оренбург заложен в 1743","после этого заведено управление - Оренбургская экспедиция и губерния"
Черемисские земли,1570-01-01,три черемисские войны,Йошкар-Ола,56.632,47.895,no,"войны 1552-1557, 1571-1574, 1581-1585","Казань взяли в 1552-м, лесную землю - нет"
Черемисские земли,1595-01-01,мир 1585 года,Йошкар-Ола,56.632,47.895,yes,"весной 1585 года черемиса добила челом вековым миром; поставлены Козьмодемьянск, Царевококшайск, Царевосанчурск","управление на земле завелось только теперь"
Казанское ханство,1560-01-01,взятие Казани 02.10.1552,Казань,55.790,49.110,yes,"ПСРЛ; вычитание черемисских земель Казань не задевает","сторож: сама Казань взята и удержана, вычитание её не касается"
Младший жуз,1800-01-01,присяга Абулхаира 19.02.1731,Уральск,51.233,51.367,no,"война Срыма Датова 1783-1797","присяга хана - не управление степью"
Младший жуз,1830-01-01,Устав об оренбургских киргизах 1824,Уральск,51.233,51.367,yes,"ханская власть упразднена, заведено окружное управление","тот же признак, что у Среднего жуза (Устав о сибирских киргизах 22.06.1822)"
Кабарда,1810-01-01,шариатские суды мехкеме 1806-1822,Нальчик,43.485,43.607,no,"собственная юрисдикция до 1822 года","до правки 28.08.2026 земля краснела просто контуром источника 1783 года"
Кабарда,1830-01-01,Кабардинская линия Ермолова 1822,Нальчик,43.485,43.607,yes,"укрепления по Малке, Баксану, Чегему, Нальчику, Урвани, Череку и Уруху; мехкеме распущены, в Нальчике учреждён Временный суд","выходы с гор на равнину закрыты"
Ингушетия,1840-01-01,крепости - точки,Назрань,43.226,44.766,no,"Владикавказская крепость 1784, Назрановское укрепление 1810","по правилу проекта крепость не делает землю имперской"
Ингушетия,1860-01-01,подавление Назрановского восстания 1858,Назрань,43.226,44.766,yes,"май-июнь 1858: около пяти тысяч повстанцев осадили Назрановское укрепление и звали Шамиля; подавил Барятинский","на год раньше чеченской даты 19.08.1859"
Северные и средние Курилы,1800-01-01,указ 30.04.1779 о принявших подданство,Шумшу,50.720,156.350,yes,"ВИКИПЕДИЯ, «История Курильских островов»: айны Шумшу и Парамушира платят ясак с 1760-х","казаки Анциферова и Козыревского высадились здесь в 1711 году"
Северные и средние Курилы,1900-01-01,Петербургский трактат 07.05.1875,Шумшу,50.720,156.350,no,"Россия отдала Японии всю гряду в обмен на признание Сахалина","семьдесят лет острова японские"
Северные и средние Курилы,1950-01-01,Курильская десантная операция 18.08-01.09.1945,Шумшу,50.720,156.350,yes,"гряда занята к началу сентября 1945","возврат красного 03.09.1945, той же датой, что в слое Второй мировой"
Южные Курилы,1800-01-01,японские по факту,Кунашир,44.000,145.900,no,"Симодский трактат 1855 года: граница между Итурупом и Урупом","до 1945 года империя ими не распоряжалась"
Южные Курилы,1900-01-01,Симодский трактат 1855,Итуруп,45.000,147.900,no,"южные острова отошли Японии официально","Итуруп вырезан из Курильского округа по 45,62 с.ш."
Южные Курилы,1950-01-01,Курильская десантная операция 1945,Кунашир,44.000,145.900,yes,"острова заняты к началу сентября 1945","единственная дата, когда империя стала ими распоряжаться"
Горная Осетия,1800-01-01,горные общества вне управления,"Горная Осетия, Цейское ущелье",42.800,43.900,no,"экспедиция генерала Абхазова вышла из Владикавказа 08.07.1830; Паскевич в конце 1830 года доносил, что осетины не слушают властей","равнина краснеет по источнику с 1783 года, горы - нет"
Горная Осетия,1840-01-01,экспедиция Абхазова 1830,"Горная Осетия, Цейское ущелье",42.800,43.900,yes,"кобанцы под предводительством части Тулатовых сопротивлялись летом 1830 года","дата поставлена на конец 1830 года"
Горная Осетия,1800-01-01,равнина под империей,Владикавказ,43.020,44.680,yes,"осетинские старшины ездили в Моздок в октябре 1774 года","сторож: вычитание гор равнину не задевает"
Приангарье,1650-01-01,острог и ясак - не заселение,Богучаны,58.380,97.450,no,"тунгусы-кинтегиры князца Пловунчи и князцы Нетуйко и Нюкейко громили зимовья по Илиму и Верхней Тунгуске в 1639-1640","Рыбинский острог 1628 года - точка"
Приангарье,1690-01-01,заселение к 1670 году,Богучаны,58.380,97.450,yes,"Кежма основана в 1665 году, к 1670-му вокруг Рыбинского острога семь поселений, перепись 1744 года застаёт восемь","красное приходит по заселению, эвенки откочевали на север"
Вычегодская Пермь,1460-01-01,наместник с уставной грамотой 1451,Сыктывкар,61.670,50.810,yes,"Вычегодско-Вымская летопись, 1451: «прислал князь великий Василей Васильевич на Пермскую землю наместника от роду вереиских князей Ермолая… А ведати им волости вычегоцкие по грамоте наказной по уставной»",красное приходит с наместника
Вычегодская Пермь,1450-01-01,до наместника,Сыктывкар,61.670,50.810,no,"та же летопись, 1450: вятчане по наущению Шемяки жгли погосты на Сысоле, Вычегде и Выми и осаждали Усть-Вымь",на срезе 1450 года это земля, за которую воюют
Низовья Печоры,1450-01-01,до волости,Усть-Цильма,65.440,52.150,no,"городок «заруби для людеи князя великого» только в 1499 году","острог - не дата"
Низовья Печоры,1520-01-01,Пустозерская волость 1502,Усть-Цильма,65.440,52.150,yes,"Вычегодско-Вымская летопись, 1502: «повеле князь великий Иван вымскому Феодору правити на Пустеозере волостью Печорою»",волость и управитель
Верхняя Печора,1600-01-01,вырез снят до розыска,Троицко-Печорск,62.710,56.200,yes,"вычитание PECHORA_UPPER снято 29.08.2026 по решению куратора: дыра-остров по границам района XXI века, признак к соседним верховьям не применялся","вернуть ожидание no, если розыск по ясачным книгам покажет, что ясака с верхней Печоры не было - data/crosscheck/pechora_upper_2026-08-29.md"
Верхняя Печора,1700-01-01,первое поселение 1674,Троицко-Печорск,62.710,56.200,yes,"поселение на слиянии Печоры с Северной Мылвой","отдельного акта о распространении управления не нашлось, дата по первому поселению"
Ненецкие тундры,1900-01-01,дань через Пустозерск,Нарьян-Мар,67.640,53.000,no,"права ненцев Москва знала с 1545 года (грамота «гневным словом» о захвате угодий канинской самояди), но землёй не распоряжалась","тот же случай, что Ямал и Таймыр"
Ненецкие тундры,1935-01-01,Ненецкий округ 15.07.1929,Нарьян-Мар,67.640,53.000,yes,"постановление Президиума ВЦИК 15.07.1929, Канинско-Тиманский район; 20.12.1929 в округ включена Пустозёрская волость",своя администрация на земле
