territory,territory_ru,from,to,kind,event_from,event_to,source,confidence,note,series
donbas_2014_07_01,"Донбасс: канун наступления, 2014-07-01",2014-07-01,2014-07-04,occupation,к июлю 2014 года украинские войска вернули часть городов и вышли к Славянску,05.07.2014 оставлен Славянск,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 65",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_07_05,"Донбасс: Славянск и Краматорск возвращены, 2014-07-05",2014-07-05,2014-07-24,occupation,"05.07.2014 вооружённые формирования отошли из Славянска и окрестных городов к Донецку; 06.07 возвращён Артёмовск, 10.07 - Северск","21-24.07.2014 возвращены Соледар, Дзержинск, Рубежное, Попасная, Северодонецк и Лисичанск","Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 66",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Славянский выступ, который на карте держался отдельной строкой с прямоугольным контуром, с этой даты исчезает сам - он часть общей линии.",donbas
donbas_2014_07_25,"Донбасс: наибольшее продвижение, 2014-07-25",2014-07-25,2014-07-31,occupation,"21.07.2014 возвращены Соледар, Дзержинск и Рубежное, 22.07 - Попасная и Северодонецк, 24.07 - Лисичанск","28.07.2014 занято Дебальцево, 30.07 - Авдеевка, 05.08 - Марьинка","доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года; украинские хроники освобождённых населённых пунктов",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_08_01,"Донбасс: занятая полоса сжалась, 2014-08-01",2014-08-01,2014-08-28,occupation,"28.07.2014 занято Дебальцево, 30.07 - Авдеевка; занятая полоса сжалась до двух городов и приграничья","18-29.08.2014 Иловайск, 24-27.08 через границу вошли регулярные части","доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_08_29,"Донбасс: перелом, Иловайск и Новоазовск, 2014-08-29",2014-08-29,2014-09-18,occupation,"18.08.2014 украинские батальоны вошли в Иловайск, к 27.08 были окружены, 29.08 при выходе колонны по «зелёному коридору» расстреляны; 24-27.08 через границу вошли регулярные части, 27.08 занят Новоазовск и открыта приморская полоса на Мариуполь",01.09.2014 оставлен луганский аэропорт; 05.09 подписан Минский протокол,"УВКПЧ ООН, доклад о нарушениях прав человека в контексте иловайских событий августа 2014 года, п. 35, 37, 72-74; Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 73",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_09_19,"Донбасс: линия разграничения, 2014-09-19",2014-09-19,2014-09-30,occupation,"05.09.2014 подписан Минский протокол, 19.09.2014 меморандумом зафиксирована линия разграничения и отвод тяжёлых вооружений; 01.09 оставлен луганский аэропорт, 04.09 - Дебальцево",линия держится до январских боёв 2015 года,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 74; Минский протокол от 05.09.2014 и Меморандум от 19.09.2014",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Списка населённых пунктов в найденном тексте меморандума нет - линия у нас идёт по якорям, а не по приложению к документу.",donbas
donbas_2014_10_01,"Донбасс: линия стоит, 2014-10-01",2014-10-01,2014-10-31,occupation,"после меморандума 19.09.2014 линия почти не двигается, бои идут за донецкий аэропорт",,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_11_01,"Донбасс: линия стоит, 2014-11-01",2014-11-01,2014-11-30,occupation,бои за донецкий аэропорт продолжаются,,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2014_12_01,"Донбасс: линия стоит, 2014-12-01",2014-12-01,2014-12-31,occupation,бои за донецкий аэропорт продолжаются,,"доклады Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине, серия с 2014 года",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2015_01_01,"Донбасс: канун январских боёв, 2015-01-01",2015-01-01,2015-01-21,occupation,в январе 2015 года бои вокруг донецкого аэропорта усилились,22.01.2015 аэропорт потерян,"Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 78",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2015_01_22,"Донбасс: донецкий аэропорт потерян, 2015-01-22",2015-01-22,2015-01-31,occupation,22.01.2015 после восьми месяцев боёв потерян донецкий аэропорт,"29.01.2015 занят Углегорск, 09.02 - Логвиново: дебальцевский котёл закрылся","УВКПЧ ООН, 9-й доклад о положении с правами человека в Украине (15.02.2015), п. 33; Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, § 242",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Расхождение в один день: Европейский суд по правам человека в пересказе доклада ставит 21.01.2015, сам доклад - 22.01.2015.",donbas
donbas_2015_02_01,"Донбасс: дебальцевский котёл, 2015-02-01",2015-02-01,2015-02-18,occupation,29.01.2015 занят Углегорск; 09.02.2015 занятием Логвинова перерезана дорога на Дебальцево,"12.02.2015 подписан «Комплекс мер», 17.02 принята резолюция Совета Безопасности ООН 2202, 18.02 украинские войска вышли из Дебальцева","Европейский суд по правам человека, «Украина и Нидерланды против России» (№ 8019/16, 43800/14 и 28525/20), решение Большой палаты о приемлемости от 30.11.2022, §§ 78-79; резолюция Совета Безопасности ООН 2202 (2015) от 17.02.2015",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_02_24,"Вторжение: первый день, 2022-02-24",2022-02-24,2022-02-26,occupation,"24.02.2022 началось полномасштабное вторжение: с юга от Перекопа заняты Геническ и плотина Каховской ГЭС, на севере - зона Чернобыльской АЭС и аэродром в Гостомеле, на востоке - приграничные Меловое, Марковка, Щастье и Станица Луганская","26-27.02.2022 заняты Мелитополь, Бердянск, Купянск, Буча","резолюция Генеральной Ассамблеи ООН ES-11/1 от 02.03.2022: «Агрессия против Украины»; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Дыра 24.02-02.04.2022 закрыта реконструкцией: у DeepStateMAP истории за первые недели вторжения нет, его посуточный слой начинается 03.04.2022.",donbas
donbas_2022_02_27,"Вторжение: юг и Приазовье, 2022-02-27",2022-02-27,2022-02-28,occupation,"25.02 занята Новая Каховка, 26.02 - Мелитополь и Каховка, 27.02 - Бердянск, Купянск, аэродром в Чернобаевке под Херсоном, Олешки; на севере заняты Иванков, Дымер, Бородянка и Буча",01.03.2022 занят Херсон,"сводки Института изучения войны и украинские официальные сообщения; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_03_01,"Вторжение: Херсон, 2022-03-01",2022-03-01,2022-03-03,occupation,"01.03.2022 российские войска вошли в Херсон, 02.03 заняли здание горсовета; в тот же день на севере занят Тростянец","03-04.03.2022 заняты Балаклея, Пологи и Энергодар с Запорожской АЭС","сводки Института изучения войны; сообщение мэра Херсона Игоря Колыхаева от 02.03.2022; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. РАСХОЖДЕНИЕ: вход войск в город - 1 марта, занятие горсовета и заявление обеих сторон о полном контроле - 2 марта. Карта идёт по контролю на местности.",donbas
donbas_2022_03_04,"Вторжение: Запорожская АЭС, 2022-03-04",2022-03-04,2022-03-18,occupation,"04.03.2022 занят Энергодар с Запорожской АЭС - первый в истории захват действующей атомной станции в ходе боевых действий; 03.03 занята Балаклея, 11.03 - Волноваха",с 25.03.2022 начинается откат на севере,"доклад Управления Верховного комиссара ООН по правам человека о положении с правами человека в Украине от 24.03.2022; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_03_19,"Вторжение: наибольшее продвижение, 2022-03-19",2022-03-19,2022-03-25,occupation,"к середине марта 2022 года заняты Снигирёвка на подступах к Николаеву и Рубежное на Луганщине; Мариуполь, Чернигов и Сумы окружены, но не заняты",25-26.03.2022 возвращены Макаров и Тростянец,"сводки Института изучения войны; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Мариуполь на карте остаётся не занятым: город был в блокаде, «Азовсталь» держалась до 20.05.2022.",donbas
donbas_2022_03_26,"Вторжение: откат на севере, 2022-03-26",2022-03-26,2022-03-31,occupation,"25.03.2022 возвращён Макаров, 26.03 - Тростянец; 29.03 на переговорах в Стамбуле объявлено о «сокращении активности» под Киевом и Черниговом","31.03.2022 оставлены Буча, зона Чернобыльской АЭС и Славутич","сводки Института изучения войны; заявления по итогам переговоров в Стамбуле 29.03.2022; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_04_01,"Вторжение: уход из-под Киева, 2022-04-01",2022-04-01,2022-04-01,occupation,"31.03.2022 оставлены Буча, зона Чернобыльской АЭС и Славутич, 01.04 - Гостомель, Бородянка, Иванков и Дымер; в тот же день установлен полный контроль над Изюмом",02.04.2022 Киевская область объявлена освобождённой,"сводки Института изучения войны; сообщения Министерства обороны Украины и Энергоатома; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_04_02,"Вторжение: стык с посуточной линией, 2022-04-02",2022-04-02,2022-04-17,occupation,02.04.2022 Киевская область объявлена освобождённой; войска ушли и из Сумской области,18.04.2022 занята Кременная - началось наступление на Луганщине,"сообщение заместителя министра обороны Украины от 02.04.2022; DeepStateMAP, снимок 03.04.2022",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. СТЫК. Посуточный слой DeepStateMAP идёт в показе последними днями месяцев, и первый его снимок - 30.04.2022, а не 03.04.2022. Поэтому реконструкция тянется до 29.04.2022: иначе с 3 по 29 апреля юг и восток гасли бы.",donbas
donbas_2022_04_18,"Вторжение: наступление на Луганщине, 2022-04-18",2022-04-18,2022-04-20,occupation,"18.04.2022 занята Кременная, наступление пошло на Северодонецк и Лисичанск",21.04.2022 объявлено о занятии Мариуполя,"сводки Института изучения войны (ISW) и украинские официальные сообщения; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. ",donbas
donbas_2022_04_21,"Вторжение: Мариуполь, 2022-04-21",2022-04-21,2022-04-29,occupation,21.04.2022 российская сторона объявила город занятым; оборона «Азовстали» держалась до 20.05.2022,с 30.04.2022 карта идёт по снимкам DeepStateMAP,"сводки Института изучения войны (ISW) и украинские официальные сообщения; DeepStateMAP, снимок 30.04.2022; таблица якорей data/crosscheck/donbas_cities.csv (даты перехода населённых пунктов), геометрия - tools/build_donbas.py",средняя,"Срез реконструкции: линия построена из таблицы якорей взвешенным голосованием ближайших (tools/build_donbas.py, тот же метод и тот же код, что у слоя Второй мировой). Это не оцифровка карт боевых действий: между двумя якорями линия идёт там, где её проводит формула. Последний срез реконструкции. Дальше работает слой DeepStateMAP, двойного показа нет: окно закрывается 29.04.2022, первый снимок слоя - 30.04.2022.",donbas
