reg,frm,to,name,why,comment
TOMSK_KUZNETSK,,1703-01-01,Томская и Кузнецкая земли,"Томск поставлен в 1604 году КАК КРЕПОСТЬ ПРОТИВ джунгар и енисейских кыргызов, Кузнецк в 1618-м. Набеги шли весь век: 1614 на окрестности Томска, 1621 на Кузнецкий округ, при Еренаке Ишееве кыргызы больше двадцати лет держали в страхе Красноярск, Кузнецк, Томск, Ачинск, Канск, Енисейск и Нижнеудинск; 18-25.09.1700 осада Кузнецка. Набеги прекратились только в 1703 году, когда джунгары увели енисейских кыргызов. Разбор - data/crosscheck/siberia_control_vs_act.md",
IRKUTSK_LAND,,1667-01-01,Прибайкалье,"ПРИБАЙКАЛЬЕ И ЗАБАЙКАЛЬЕ РАЗВЕДЕНЫ (правка 28.08.2026): обе земли краснели 20.08.1727 по Буринскому договору, но этот договор делил ЗАбайкальских бурят между империей и Цинами, а к балаганской степи отношения не имеет. Здесь свой ход событий: Балаганский острог поставлен в 1654 году, в июне 1658 года унгинские и окинские буряты восстали против приказчика Ивана Похабова - поводом стала гибель двух окинцев от его мучений, - перебили сборщиков ясака, и почти всё население, подчинённое острогу, откочевало в Халху. В 1659 году ясака сюда почти не поступало, острог свою ясачную роль потерял. Часть откочевавших вернулась в 1667 году и снова стала платить ясак - с этого года земля и краснеет. ОГОВОРКА: вернулась ЧАСТЬ, и точной доли источник не даёт; вторая возможная дата - 1727 год, когда граница закрыла сам путь откочёвки. Разбор - data/crosscheck/siberia_control_vs_act.md",
ALTAI_DVOEDAN,,1866-01-01,Чуйские двоеданцы: Кош-Агач и Улаган,"ДВОЕДАНСТВО. Указ Елизаветы 02.05.1756 и присяга осени 1756 года закрыли Горный Алтай, но НЕ его юго-восток: телесы и теленгиты по Чуе, Аргуту и Чулышману платили дань И РОССИИ, И ЦИНСКОМУ КИТАЮ ещё сто десять лет. Двоеданство кончилось в 1860-х: последний платёж Китаю - 1866 год, после Чугучакского протокола 1864 года. Геометрия - Кош-Агачский и Улаганский районы OpenStreetMap (data/altai/dvoedantsy.geojson). Разбор - data/crosscheck/siberia_control_vs_act.md",
TAIMYR,,1930-12-10,Таймыр: земли нганасан,"ЗАХВАТА НЕ БЫЛО ВОВСЕ (правка 28.08.2026 по вопросу куратора «как таймыр захватывали?»). До 28.08.2026 карта краснела здесь с 1666 года - по подавленному восстанию авамских нганасан, то есть по тому же принципу «сопротивление кончилось - земля наша», который для тундры не работает: чтобы землёй распоряжаться, на ней надо быть. Ясак с предков нганасан брали по группам - в 1618 году с пясидских самоедов, в 1625-м с кураков и ванядов, в 1627-м с тидирисов и части тавгов, - но брали его в ЗИМОВЬЯХ, куда кочевники приходили сами: Авамском, Есейском, Хатангском, Дудинском. В тундру администрация не ходила. Сопротивление шло весь XVII век (1666 - убито больше тридцати служилых и промышленных людей и четверо тунгусов; 1683 - разгром Есейского зимовья ванядами) и продолжалось в первой половине XVIII века, после чего авамское племя рассеялось от неудачных восстаний и голода. Управление на самой земле завелось только в советское время: 1921 - советская власть впервые дошла до нганасан, 1925 - родовые советы переделаны в советские, 10.12.1930 постановлением ВЦИК образован Таймырский (Долгано-Ненецкий) национальный округ с центром в Дудинке и четырьмя районами (Авамский, Дудинский, Хатангский, Усть-Енисейский), 1931-1938 - коллективизация, 1935 - Норильск и Норильлаг, оседание нганасан в посёлках Усть-Авам, Волочанка и Новая - 1940-1960-е. Красное приходит 10.12.1930, как на Чукотке оно приходит с постом Ново-Мариинск 1889 года, а не с ясаком и не с острогом. Разбор - data/crosscheck/siberia_control_vs_act.md",
KURILS_SOUTH,,1945-09-03,"Южные Курилы: Итуруп, Кунашир, Шикотан, Хабомаи","ИМПЕРИЯ ИМИ НЕ РАСПОРЯЖАЛАСЬ ДО 1945 ГОДА (правка 28.08.2026). Симодский трактат 1855 года провёл границу между Итурупом и Урупом: южные острова японские. Красное приходит только с Курильской десантной операцией 18.08-01.09.1945, полная занятая гряда - к началу сентября; дата взята та же, что в слое Второй мировой, 03.09.1945. Геометрия - Южно-Курильский округ плюс Итуруп, вырезанный из Курильского округа по 45,62 с.ш.",
KURILS_MIDDLE,,1855-02-07,Онекотан - Симушир до Симоды,контур источника 1715 г. красит Онекотан без документа на контроль (разбор D1_kurily.md),
KURILS_URUP,,1795-01-01,Уруп до поселения Шелихова,контур источника; разбор D1_kurily.md,
KURILS_URUP,1806-01-01,1828-01-01,Уруп между поселением и конторой РАК,колонии на острове не было (D1_kurily.md),
KURILS_SHUMSHU,,1715-01-01,Шумшу и Парамушир до ясачных росписей,контур источника 1715 г.; ясак с 1715 (D1_kurily.md),
KURILS_NORTH,1875-05-07,1945-09-03,Северные и средние Курилы у Японии,"ПЕТЕРБУРГСКИЙ ТРАКТАТ 07.05.1875 (правка 28.08.2026): Россия отдала Японии всю оставшуюся гряду в обмен на признание Сахалина. Семьдесят лет эти острова были японскими, и карта обязана держать их чёрными - до Курильской десантной операции 1945 года. До 1875 года они красные с 30.04.1779 (см. таблицу приобретений)",
OSSETIA_MTN,,1831-01-01,Горная Осетия,"РАВНИНА И ГОРЫ РАЗВЕДЕНЫ (правка 28.08.2026). Осетинские старшины ездили в Моздок ещё в октябре 1774 года, и равнина краснеет по источнику с 1783 года - но горные общества имперская администрация не держала. Летом 1830 года отряд генерала Абхазова вышел из Владикавказа (08.07.1830) с восемью орудиями и особой командой для подрыва башен; кобанцы под предводительством части Тулатовых сопротивлялись. Уже в конце октября - начале декабря 1830 года Паскевич доносил в Петербург, что осетины не слушают местных властей, - поэтому дата поставлена на конец года, а не на день выступления отряда. Геометрия - южнее 42,95 с.ш., Владикавказ на равнине остаётся красным. Разбор - data/crosscheck/act_vs_control_audit_2026-08-28.md",
ANGARA,,1670-01-01,Приангарье: Богучанский и Кежемский края,"ЗАМЕЩЕНИЕ НАСЕЛЕНИЯ, А НЕ УПРАВЛЕНИЕ ИЗДАЛЕКА (правка 28.08.2026). Земля краснела с 25.09.1632 - по дате Якутского острога. На самом деле здесь свой ход: Рыбинский острог поставлен в 1628 году Петром Бекетовым, посланным подавить нижнеангарских тунгусов после разгрома отряда Максима Перфильева; в 1639-1640 годах тунгусы-кинтегиры князца Пловунчи и князцы Нетуйко и Нюкейко громили зимовья и склады по Илиму и Верхней Тунгуске; в 1646 году енисейский воевода Фёдор Уваров доносил об обложении ясаком немирных тунгусов. Земля стала имперской не ясаком, а людьми: Кежма основана в 1665 году, к 1670-му вокруг Рыбинского острога стояло уже семь поселений, перепись 1744 года застаёт восемь. Красное приходит 1670 годом - по заселению, а сами эвенки к XVIII веку откочевали на север, на Подкаменную Тунгуску. Мотыгинский округ в вычитание не вошёл: геометрию OpenStreetMap по нему выгрузить не удалось",
KOMI,,1451-01-01,"Вычегодская Пермь: Вычегда, Вымь, Сысола","ЗЕМЛЯ КРАСНЕЛА С 1450 ГОДА НИ ПО ЧЕМУ (правка 28.08.2026 по вопросу куратора «где пруфы что там кто-то жил вообще?»). Контур источника на 1492 год держит Коми внутри Москвы, своей строки у неё не было. По Вычегодско-Вымской летописи наместника с уставной грамотой прислали только в 1451 году: «прислал князь великий Василей Васильевич на Пермскую землю наместника от роду вереиских князей Ермолая… А ведати им волости вычегоцкие по грамоте наказной по уставной». А годом раньше, в 1450-м, вятчане по наущению Шемяки жгли погосты на Сысоле, Вычегде и Выми и осаждали Усть-Вымь - то есть на нашем срезе это земля, за которую воюют. ЛЮДИ ТАМ БЫЛИ, и это в документах: перепись 1481 года («прислал князь великий Ивашку Гаврилова Вычегодские знамени и луки писати»), переписи 1564 и 1585-86 годов, писцовая книга 1628 года - 3175 дворов в одном Еренском уезде, погост Ирта - 26 деревень и 106 дворов. ОГОВОРКА: до падения Новгорода 15.01.1478 новгородские докончальные грамоты продолжали числить Пермь, Печору и Югру своими волостями, но фактов новгородского управления после 1386 года летопись не знает. Разбор - data/crosscheck/north_1450_2026-08-28.md",
PECHORA_LOWER,,1502-01-01,"Низовья Печоры: Усть-Цильма, Ижма, Пустозерск","ГОРОДОК - НЕ ДАТА. В 1499 году воеводы Курбский, Ушатый и Заболоцкий-Бражник «городок заруби для людеи князя великого» - это военный поход, ставящий укрепление на чужой земле. Волость появилась через три года: «повеле князь великий Иван вымскому Феодору правити на Пустеозере волостью Печорою» (Вычегодско-Вымская летопись, 1502). До того администрация уже распоряжалась устьем: в 1491 году пермичам пожалованы «тони на устье Печоры-реки от Болванские до Пустозерские», но постоянного присутствия там не было. Разбор - data/crosscheck/north_1450_2026-08-28.md",
PECHORA_UPPER,,1639-04-04,Верхняя Печора,"КАЗНА РАСПОРЯЖАЕТСЯ РЕКОЙ - 4 апреля 1639 года. Царская грамота чердынскому воеводе Дорофею Остафьеву по челобитью крестьянина Лаврушки Возмищева отдаёт ему за деньги на пять лет рыбную ловлю на нижнем Илыче (приток верхней Печоры, устье в девяти километрах от Палью), полтора рубля в год, - и называет это место «в Чердынском уезде»: «в Чердынском де уезде, на реке Илыче, выше усть Палги реки, за две версты вниз до устья тое ж Илыча реки, Пермичи, Чердынцы посадские люди и уездные крестьяне ежелеть зверь бьют и рыбу ловят издавна, а оброку де с тое реки в нашу казну никто не платит… и ты б тое реку Илычь отдал ему Лаврушке на оброк на пять лет» (Акты исторические, т. III, № 203, с. 356-357). Карта держится на таком признаке: не объявление земли своей, а плата за конкретную реку, с проверкой, не платит ли кто раньше. Земля при этом мансийская: Долгих («Очерки по этнической истории ненцев и энцев», 1970, с. 35) пишет, что Печору от устья Илыча до устья Щугора в XVI-XVII веках осваивали обские угры. Более ранние даты слабее: в 1607 и 1611 годах Чердынь собирает дань с печорских людей (АИ, т. II, №№ 76, 82, 323) - это распоряжение людьми, а не землёй, и сама привязка печорского юрта читается через реконструкцию гидронима. ОГОВОРКА: цитата снята с OCR дореформенного издания, перед витриной сверить со сканом. ВОЗРАЖЕНИЕ, которое надо называть самим: Чагин («Вестник Пермского университета. История», 2015, вып. 1(28)) относит чердынско-печорскую связку к XVIII веку и старше, но он смотрит на верхнюю Печору через заселение, а грамота говорит про платёж за угодье. Разбор и что искать дальше - data/crosscheck/pechora_upper_2026-08-29.md","ИСТОРИЯ СТРОКИ. С 28.08.2026 тут стояло вычитание до 1674 года по первому
русскому поселению; 29.08.2026 куратор его снял - дата мерила заселённость,
а не распоряжение землёй, и давала единственную на карте дыру-остров,
вырезанную по границам Троицко-Печорского района OpenStreetMap. Розыск по
актовым сводам дал прямой документ, и 30.08.2026 куратор выбрал 1639 год."
NENETS,,1929-07-15,"Ненецкие тундры: Канин, Тиман, Колгуев","ТОТ ЖЕ СЛУЧАЙ, ЧТО ЯМАЛ И ТАЙМЫР: кочевое оленеводческое население, дань через дальний укреплённый пункт (здесь Пустозерск), своей постоянной администрации нет до советского округа. Права ненцев Москва знала давно - в 1545 году великий князь прислал «грамоту гневным словом, пошто у канинские и тиминские самояди зверинные угодеи и рыбные ловли пермеки, пинежане, важане поимали их дедины и отчины», - но землёй не распоряжалась. Ненецкий округ образован постановлением Президиума ВЦИК 15.07.1929, тогда же появился Канинско-Тиманский район; 20.12.1929 в округ включена Пустозёрская волость. Разбор - data/crosscheck/north_1450_2026-08-28.md",
EVENKIA_TURUKHANSK,,1930-12-10,Эвенкия и Туруханский север,"ТА ЖЕ ИСТОРИЯ, ЧТО НА ТАЙМЫРЕ (правка 28.08.2026). Земля краснела с 25.09.1632 - по дате Якутского острога, который стоит за две тысячи вёрст отсюда. С 1601 по 1930 год постоянное присутствие империи здесь - это ОДИН переносимый пост: Мангазея (1601), после двух пожаров и указа 1672 года перенесена на Енисей как Новая Мангазея, она же Туруханск. Вглубь тайги пост не двигался. Ясак брали в зимовьях по списку ясачной книги 1629 года (Хантайское, Есейское, Пясидское, Верхотазское, Худасейское, Туруханское, Имбацкое, Закаменное), куда люди приходили сами. Насколько это было управление, видно по датам: 1600 - у Мангазеи разбит отряд, погибло около тридцати человек; 1679 - юрацкая самоядь напала на семьи сборщиков, и место старой Мангазеи бросили совсем; 1683 - сожжено Есейское зимовьё. В конце XVIII века на весь край 4878 человек, из них русских 802 души мужского пола. Первое деление территории на местные единицы - 1925 год (восемь районов, из них пять туземных, и 24 родовых совета на 1,57 млн км² при 23,6 тыс. жителей); первые исполкомы в самой тайге - 1927 (Илимпийский на Нижней Тунгуске, Байкитский на Подкаменной); 10.12.1930 постановлением Всероссийского центрального исполнительного комитета образованы Эвенкийский национальный округ с центром в Туре и Туруханский район. Красное приходит этой датой - тем же указом, что и на Таймыре. Оседание кочевого хозяйства тянулось до 1950-х. Разбор - data/crosscheck/siberia_control_vs_act.md",
YAMAL_NENETS,,1930-12-10,Ямал и Гыдан: Ямало-Ненецкий округ,"ОБДОРСК - ТОЧКА, А НЕ ЗЕМЛЯ (правка 28.08.2026). Острог в устье Оби поставлен в 1595 году и держал торговлю и ясачный сбор, а не тундру: в 1607 году около двух тысяч человек два месяца осаждали Берёзов, в 1679 году самоеды пытались взять сам Обдорск - через восемьдесят четыре года после его основания. Ясак ненцы везли в острог сами, к зимнему сбору и Обдорской ярмарке; на Тазу служилые люди, по их собственным словам, «за ними для ясаку не ходят… да и от зимовий своих отходити не смеют». Устав об управлении инородцев 1822 года записал ненцев в «бродячих» - без земских сборов, с родовым судом и правилом посещать их не чаще раза в год, а в 1827 году в этот разряд перевели всех инородцев Северной Оби: империя предпочла мир доходу и от управления этой землёй отказалась прямо. Движение Ваули Пиеттомина 1830-х годов кончилось тем, что его схватили обманом в Обдорске, а не силой в тундре. Красное приходит 10.12.1930, когда постановлением Всероссийского центрального исполнительного комитета образованы Ямальский (Ненецкий) национальный округ и районы Ямальский, Тазовский, Надымский и Приуральский. ОГОВОРКА: устойчивым это управление стало не сразу - в декабре 1934 года мандалада разогнала Нейтинский, Тамбейский и Тиутейский национальные советы, и порядок восстановил отряд ОГПУ; второе восстание - июнь 1943 года, бой у горы Недь-Ю. Разбор - data/crosscheck/siberia_control_vs_act.md",
MINUSINSK,,1757-01-01,Минусинская котловина,"Правобережье Енисея - часть Хонгорая, и по нему идёт та же дата, что по Хакасии: 1757, клятва хонгорцев о «вечном подданстве Белого царя». До 1703 года эту землю держали енисейские кыргызы, пока джунгары не увели их на Эмель - около 15 тысяч человек. Разбор - data/crosscheck/siberia_control_vs_act.md",
KRASNOYARSK_SOUTH,,1703-01-01,"Красноярский, Ачинский и Канский уезды","Красноярский острог поставлен в 1628 году, но при Еренаке Ишееве кыргызы больше двадцати лет держали в страхе Красноярск, Кузнецк, Томск, Ачинск, Канск, Енисейск и Нижнеудинск. 15.07.1679 под Красноярск пришли кыргызские, алтырские и кизыльские воинские люди: сожгли две деревни, побили служилых и пашенных крестьян, а жён и детей увели в плен. В сентябре 1700 года кыргызские отряды снова напали на Красноярск. Набеги прекратились в 1703 году, когда джунгары увели кыргызов. Разбор - data/crosscheck/siberia_control_vs_act.md",
KORYAK_LAND,,1757-01-01,Корякские земли,"Восстание 1703-1715 годов: сожжены остроги, убито около 200 казаков. Корякские войны 1745-1757: в ноябре 1745 разбит отряд сержанта Мамурова, Акланский острог несколько дней в осаде; войны 1744 и 1753-1754; в 1753 осаждена Гижигинская крепость. Коряков было 10-11 тысяч в 1700 году и 4800 в 1800-м - оспа 1769-1770 годов и война с казаками. Разбор - data/crosscheck/siberia_control_vs_act.md",
CHUKOTKA,,1889-08-03,Чукотка,"ЗАВОЕВАНИЯ НЕ БЫЛО (решение куратора 28.08.2026). Сенатский указ 1742 года велел непокорных чукчей «искоренить вовсе»; 14.03.1747 отряд майора Павлуцкого разбит на реке Орловой; указом 04.05.1764 Анадырская партия и острог ликвидированы, с 1765 года людей вывели, в 1771-м укрепления срыли. В докладе Сената Екатерине: приводить чукчей в подданство «нужды и пользы нет». Протокол 1778 года в Гижигинской крепости подписал ОДИН тойон из четырёх - Амулят Хергынтов; указом 11.10.1779 чукчи получили десять лет без ясака и независимость во внутренних делах, а империя - право выставить деревянные доски со своим гербом. Красное приходит только 03.08.1889, когда начальник Анадырской округи Гриневецкий основал ПОГРАНИЧНЫЙ пост Ново-Мариинск; саму округу учредили указом 09.07.1888 как форпост против американской экспансии после продажи Аляски. До этой даты на Чукотке красятся только остроги точками (data/ostrogs/registry.csv). Разбор - data/crosscheck/siberia_control_vs_act.md",
ALASKA,1867-10-18,,Русская Америка,"источник держит Аляску внутри империи в срезе 1880 г., хотя передача состоялась 18.10.1867 по конвенции 18.03.1867 (ПСЗРИ 2-е собр. т. 42 № 44518)",
