id,spec,comment
GEO_EAST,"[('ne', 'Georgia', ['Tbilisi', 'Shida Kartli', 'Kvemo Kartli', 'Kakheti', 'Mtskheta-Mtianeti']), ('ne', 'Armenia', ['Lori']), ('ne', 'Azerbaijan', ['Qazax', 'Ağstafa', 'Tovuz'])]","--- Кавказ --------------------------------------------------------------
Казахская и Шамшадильская дистанции подчинялись царям Картли-Кахети и
вошли вместе с ними в 1801 году, а не по Гюлистану 1813-го"
GEO_MEGRELIA,"[('ne', 'Georgia', ['Samegrelo-Zemo Svaneti']), ('minus_file', 'georgia/svaneti_upper_mestia_osm.geojson'), ('minus_file', 'georgia/poti_osm.geojson')]","Западная Грузия тоже разобрана на части: княжества входили по одному
22.09.2026: владения разобраны по муниципалитетам OSM (data/georgia/):
Верхняя Сванетия (Местиа), Поти, Рача (Амбролаури, Они), Лечхуми с
Нижней Сванетией (Цагери, Лентехи - земли дома Дадиани), Самурзакано
(Гал) идут своими датами. Внешние границы - Natural Earth, как у соседей"
GEO_SVANETI_UPPER,"[('ne', 'Georgia', ['Samegrelo-Zemo Svaneti']), ('and_file', 'georgia/svaneti_upper_mestia_osm.geojson')]",
GEO_POTI,"[('ne', 'Georgia', ['Samegrelo-Zemo Svaneti']), ('and_file', 'georgia/poti_osm.geojson')]",
GEO_IMERETI,"[('ne', 'Georgia', ['Imereti'])]",
GEO_RACHA,"[('ne', 'Georgia', ['Racha-Lechkhumi-Kvemo Svaneti']), ('and_file', 'georgia/racha_osm.geojson')]",
GEO_LECHKHUMI,"[('ne', 'Georgia', ['Racha-Lechkhumi-Kvemo Svaneti']), ('minus_file', 'georgia/racha_osm.geojson')]",
GEO_ABKHAZIA,"[('ne', 'Georgia', ['Abkhazia']), ('minus_file', 'georgia/samurzakano_gal_osm.geojson')]",
GEO_SAMURZAKANO,"[('ne', 'Georgia', ['Abkhazia']), ('and_file', 'georgia/samurzakano_gal_osm.geojson')]",
GEO_GURIA,"[('ne', 'Georgia', ['Guria'])]",
GEO_SAMTSKHE,"[('ne', 'Georgia', ['Samtskhe-Javakheti'])]",
PERSIA_TABRIZ,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Tabriz County'])]","--- Персия 1909-1918: районы (шахрестаны) городов с русскими гарнизонами
(22.09.2026), OpenStreetMap admin_level 5"
PERSIA_URMIA,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Urumia County'])]",
PERSIA_KHOY,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Khoy County'])]",
PERSIA_SALMAS,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Salmas County'])]",
PERSIA_MAHABAD,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Mahabad County'])]",
PERSIA_ARDABIL,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Ardabil city'])]",
PERSIA_QAZVIN,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Qazvin County'])]",
PERSIA_RASHT,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Rasht County'])]",
PERSIA_ANZALI,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Bandar-e-Anzali County'])]",
PERSIA_MASHHAD,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Mashhad County'])]",
PERSIA_HAMADAN,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Hamedan County'])]",
PERSIA_KERMANSHAH,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Kermanshah County'])]",
PERSIA_SANANDAJ,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Sanandaj County'])]",
PERSIA_BIJAR,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Bijar County'])]",
PERSIA_NAHAVAND,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Nahavand County'])]",
PERSIA_KANGAVAR,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Kangavar County'])]",
PERSIA_HARSIN,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Harsin County'])]",
PERSIA_ASADABAD,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Asadabad County'])]",
PERSIA_DALAHU,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Dalahu County'])]",
PERSIA_QASR,"[('file_where', 'iran/persia_garrison_counties_osm.geojson', ['Qasr-e-Shirin County'])]",
ANAT_KARS_1828,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Kars Merkez', 'Akyaka', 'Arpaçay', 'Digor', 'Kağızman', 'Sarıkamış', 'Selim', 'Susuz'])]","--- Восточная Анатолия: округа российских оккупаций (22.09.2026) --------
районы OpenStreetMap; пашалык в документе - нынешний ил, санджак - район"
ANAT_ARDAHAN_1828,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Ardahan Merkez', 'Damal', 'Göle', 'Hanak', 'Posof', 'Çıldır'])]",
ANAT_BAYAZET_1828,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Ağrı Merkez', 'Diyadin', 'Doğubayazıt', 'Eleşkirt', 'Hamur', 'Patnos', 'Taşlıçay', 'Tutak'])]",
ANAT_ERZURUM_1829,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Yakutiye', 'Palandöken', 'Aziziye'])]",
ANAT_ERZURUM_SANJ_1829,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Pasinler', 'Köprüköy', 'Tortum', 'Narman', 'Hınıs', 'Aşkale', 'Tercan', 'Erzincan Merkez'])]",
ANAT_BAYBURT_1829,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Bayburt Merkez'])]",
ANAT_CILDIR_1855,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Çıldır'])]",
ANAT_ZARUSAD_1855,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Arpaçay', 'Akyaka'])]",
ANAT_KAGIZMAN_1855,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Kağızman'])]",
ANAT_KARS_OBL_1855,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Kars Merkez', 'Akyaka', 'Arpaçay', 'Digor', 'Kağızman', 'Sarıkamış', 'Selim', 'Susuz', 'Ardahan Merkez', 'Damal', 'Göle', 'Hanak', 'Posof', 'Çıldır', 'Oltu', 'Şenkaya'])]",
ANAT_BAYAZET_1877,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Doğubayazıt'])]",
ANAT_ALASHKERT_1877,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Eleşkirt'])]",
ANAT_ERZURUM_OBL_1877,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Doğubayazıt', 'Eleşkirt', 'Horasan', 'Pasinler', 'Köprüköy'])]",
ANAT_ERZURUM_1878,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Yakutiye', 'Palandöken', 'Aziziye'])]",
KARS_ARDAHAN_1877,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Ardahan Merkez', 'Damal', 'Göle', 'Hanak', 'Posof', 'Çıldır'])]",
KARS_KARS_1877,"[('file_where', 'turkey/east_anatolia_ilce_osm.geojson', ['Kars Merkez', 'Akyaka', 'Arpaçay', 'Digor', 'Kağızman', 'Sarıkamış', 'Selim', 'Susuz'])]",
GEO_AJARIA,"[('ne', 'Georgia', ['Ajaria'])]",
AZ_GANJA,"[('ne', 'Azerbaijan', ['Gəncə', 'Goranboy', 'Naftalan', 'Samux', 'Şəmkir', 'Daşkəsən', 'Xanlar', 'Gədəbəy', 'Yevlakh', 'Yevlakh Rayon', 'Mingəçevir'])]","ХАНСТВА ПООТДЕЛЬНОСТИ (правка 01.09.2026). Раньше здесь одной строкой
стоял весь Азербайджан без Нахичевани, и на 12.10.1813 краснела разом
половина Кавказа. Куратор, посмотрев карту: «сначала строятся крепости
на кавказе, а потом разом захватывается и грузия и половина кавказа.
давай как-то постепенно это рисовать». Ханства падали по одному за
девять лет ДО Гюлистана, мир их только закрепил. Раскладка покрывает
все 74 района Natural Earth без дыр и без дублей - проверка ниже."
AZ_KARABAKH,"[('ne', 'Azerbaijan', ['Şuşa', 'Xocalı', 'Xocavənd', 'Stepanakert', 'Ağdam', 'Tərtər', 'Bərdə', 'Ağcabədi', 'Füzuli', 'Cəbrayıl', 'Zəngilan', 'Qubadli', 'Kəlbəcər', 'Beyləqan'])]",
AZ_SHEKI,"[('ne', 'Azerbaijan', ['Şəki', 'Oğuz', 'Qəbələ', 'Qax'])]",
AZ_JARO,"[('ne', 'Azerbaijan', ['Zaqatala', 'Balakən'])]",
AZ_SHIRVAN,"[('ne', 'Azerbaijan', ['Şamaxı', 'Ağsu', 'Qobustan', 'İsmayıllı', 'Kürdəmir', 'Ucar', 'Göyçay', 'Ağdaş', 'Zərdab', 'Shirvan', 'Hajigabul'])]",
AZ_BAKU,"[('ne', 'Azerbaijan', ['Bakı', 'Abşeron', 'Sumqayıt', 'Xizı'])]",
AZ_QUBA,"[('ne', 'Azerbaijan', ['Quba', 'Qusar', 'Xaçmaz', 'Dəvəçi', 'Siyəzən'])]",
AZ_TALYSH,"[('ne', 'Azerbaijan', ['Lankaran', 'Astara', 'Lerik', 'Masallı', 'Yardımlı', 'Cəlilabad', 'Biləsuvar'])]",
AZ_MUGAN,"[('ne', 'Azerbaijan', ['Salyan', 'Neftçala', 'Saatlı', 'Sabirabad', 'İmişli'])]",
AZ_NAKHCHIVAN,"[('ne', 'Azerbaijan', ['Naxçıvan', 'Babək', 'Culfa', 'Ordubad', 'Şahbuz', 'Sədərək', 'Kangarli', 'Şərur'])]",
ARM_GULISTAN,"[('ne', 'Armenia', ['Syunik', 'Tavush'])]",
ARM_TURKMANCHAY,"[('ne', 'Armenia', ['Erevan', 'Ararat', 'Armavir', 'Aragatsotn', 'Kotayk', 'Gegharkunik', 'Vayots Dzor', 'Shirak']), ('ne', 'Turkey', ['Iğdir'])]",
DAGESTAN,"[('ne', 'Russia', ['Dagestan'])]",
DAGESTAN_COAST,"[('file', 'dagestan/primorskaya_polosa.geojson')]","03.09.2026, разбор MAP-MATERIALS/loop_2026-09-03/D3_dagestan.md"
TEREK_LOWER,"[('file', 'dagestan/nizovya_tereka.geojson')]",
KARS,"[('ne', 'Turkey', ['Kars', 'Ardahan']), ('file', 'kars/ilce_rossiyskie_1878.geojson')]","Карсская область и Артвинский округ Батумской - по ст. 58 Берлинского
трактата (22.09.2026). До того регион брал всю нынешнюю провинцию Артвин
и не брал Ольтинский округ (он в нынешней провинции Эрзурум): Хопа и
Архаве краснели с 1878 года, хотя русские войска вошли туда в феврале -
марте 1915-го (Allen & Muratoff 1953, с. 294-295), а Ольты - нет, хотя
граница шла, «оставляя город Ольти за Россией». Районы OSM: Артвин-центр,
Ардануч, Борчка, Шавшат, Мургул (по водоразделу Хопы и Чороха -
приближение), Олту, Олур, Шенкая. Лазистан (Хопа, Архаве, Кемальпаша),
османская часть Юсуфели, Нарман, Тортум, Узундере в регион не входят -
их за нынешней границей Турции режет tools/clip_foreign.py. Розыск -
MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b6_oltinskiy_okrug_1878-1918.md"
ANAPA,"[('file', 'kuban/anapa_sudzhuk.geojson')]","РАМКА ЗАМЕНЕНА МУНИЦИПАЛИТЕТАМИ (01.09.2026): Анапа и Новороссийск
(Суджук-кале) вместо прямоугольника по побережью"
CIRCASSIA,"[('ne', 'Russia', ['Krasnodar', 'Adygey', 'Karachay-Cherkess'])]",
CHECHNYA_WAR,"[('ne_minus', 'Russia', ['Chechnya'], ['chechnya/tersk_stanitsy.geojson'])]","--- Кавказ: территории, которые империя ЗАНЯЛА ПОЗЖЕ АКТА (см. RESIST) --
Чечня южнее Терека: приteречная полоса (станицы Терского казачьего
войска, Кизлярская линия с 1735 г.) отрезана рамкой по широте 43.5°,
она у империи была. Грозная (43.32) остаётся южнее рамки - крепость
1818 г. стояла в воюющей стране, а не в замирённой.
ПРЯМОУГОЛЬНИК ЗАМЕНЁН НА РАЙОНЫ (01.09.2026). Раньше здесь стояла рамка
по широте 43,5 - и на карте появлялась идеальная горизонталь поперёк
Чечни. Куратор: «странные артефакты». Смысл рамки был верный: отрезать
приteречную полосу со станицами Терского казачьего войска (Кизлярская
линия с 1735 г.), она у империи была. Теперь то же самое вычитается
настоящими единицами - Наурский и Шелковской районы, выгрузка
tools/fetch_osm_units.py."
DAGESTAN_MTN,"[('ne_minus', 'Russia', ['Dagestan'], ['dagestan/primorskaya_polosa.geojson', 'dagestan/nizovya_tereka.geojson', 'dagestan/kumyk_plain.geojson'])]","Горный Дагестан (ядро имамата): рамка отрезает приморскую полосу с
Дербентом и Петровском (Гюлистан 1813 - там империя была) и низовья
с Кизляром. Хасавюрт с кумыкской плоскостью рамка тоже отрезала, но с
29.08.2026 он вычитается своей группой KUMYK_PLAIN - ниже
ТО ЖЕ САМОЕ ДЛЯ ДАГЕСТАНА. Рамка (45.0, 41.0, 47.35, 43.15) давала на
карте прямой угол у Каспия. Ядро имамата - горы: вычитаем приморскую
полосу с Дербентом (взят 1806, побережье за империей по Гюлистану 1813)
и низовья Терека с Кизляром (1735). Кумыкская плоскость вычитается
своей группой KUMYK_PLAIN и здесь НЕ повторяется - у неё своя дата."
KUMYK_PLAIN,"[('file', 'dagestan/kumyk_plain.geojson')]","Кумыкская плоскость (засулакская Кумыкия), Салатавия и Аух: семь единиц
OpenStreetMap admin_level=6 - Хасавюртовский, Бабаюртовский,
Кизилюртовский, Казбековский и Новолакский районы с городскими округами
Хасавюрта и Кизилюрта. Земля между Тереком и Сулаком, куда рамка горного
Дагестана не достаёт: она обрезана по 43.15°, а плоскость лежит севернее.
Кизлярский и Тарумовский районы в группу НЕ входят - там Кизляр 1735 г.
и станицы, красное там по делу"
KARACHAY,"[('ne', 'Russia', ['Karachay-Cherkess'])]","Черкесия: левобережье Кубани от Лабы до моря. Рамка НЕ трогает
Анапу с Суджук-кале (приобретение 1829 г., своя рамка выше),
правобережье с Екатеринодаром (севернее 44.95°) и Карачай
(подчинён 1828 г., Карачаево-Черкесия в выборку не входит)
КАРАЧАЙ: верховья Кубани и Теберды у подошвы Эльбруса. Источник красит
его контуром 1783 года, а в подданство он приведён только в 1828-м -
АКАК т. 7: «Въ первый годъ войны съ Турцiею ген. Эмануель привелъ въ
подданство Россiи Карачаевцевъ, обитающихъ на сѣверо-восточномъ склонѣ
Кавказскихъ горъ, близь верховьевъ рр. Кубани и Теберды, у подошвы
Эльбруса». Заведено 02.09.2026"
NOGAI_STEPPE,"[('ne_minus', 'Russia', ['Krasnodar'], ['kuban/levoberezhye.geojson', 'kuban/anapa_sudzhuk.geojson'])]","НОГАЙСКАЯ СТЕПЬ: правобережье Кубани и восточное Приазовье, где кочевали
едичкульская, едисанская и джанбулукская орды. Земля Краснодарского края
МИНУС левобережье (оно вычитается своей группой до 1864 года) и минус
Анапа с Новороссийском (Адрианополь 1829). Заведено 02.09.2026: куратор
увидел, что всё Предкавказье краснеет одним шагом контуром 1783 года"
CIRCASSIA_LEFT,"[('ne', 'Russia', ['Adygey']), ('file', 'kuban/levoberezhye.geojson')]","ПРЯМАЯ ПО ШИРОТЕ 44,95 ЗАМЕНЕНА МУНИЦИПАЛИТЕТАМИ (01.09.2026): рамка
шла поперёк Кубани ровной горизонталью. Теперь левобережье собрано из
девяти единиц южнее реки плюс Адыгея целиком; Анапа с Суджук-кале
(Адрианополь 1829) и правобережье с Екатеринодаром не входят"
KZ_YOUNGER,"[('ne', 'Kazakhstan', ['West Kazakhstan', 'Atyrau', 'Aqtöbe', 'Mangghystau'])]",--- казахская степь и Средняя Азия --------------------------------------
KZ_MIDDLE,"[('ne', 'Kazakhstan', ['Aqmola', 'Astana', 'Pavlodar', 'North Kazakhstan', 'Qostanay', 'East Kazakhstan', 'Qaraghandy'])]",
KZ_SENIOR,"[('ne', 'Kazakhstan', ['Almaty', 'Almaty City'])]",
TASHKENT,"[('ne', 'Uzbekistan', ['Tashkent', 'Sirdaryo']), ('ne', 'Kazakhstan', ['South Kazakhstan', 'Zhambyl', 'Qyzylorda']), ('ne', 'Kyrgyzstan', ['Chuy', 'Bishkek', 'Ysyk-Köl', 'Naryn', 'Talas'])]",
ZERAVSHAN,"[('ne', 'Uzbekistan', ['Samarkand', 'Jizzakh', 'Navoi'])]",
BUKHARA,"[('ne', 'Uzbekistan', ['Bukhoro', 'Kashkadarya', 'Surkhandarya']), ('ne', 'Tajikistan', ['Khatlon', 'Leninabad', 'Dushanbe', 'Tadzhikistan Territories'])]",
KHIVA,"[('ne', 'Uzbekistan', ['Khorezm', 'Karakalpakstan']), ('ne', 'Turkmenistan', ['Tashauz'])]",
FERGHANA,"[('ne', 'Uzbekistan', ['Ferghana', 'Andijon', 'Namangan']), ('ne', 'Kyrgyzstan', ['Osh', 'Jalal-Abad', 'Batken'])]",
TRANSCASPIA,"[('ne', 'Turkmenistan', ['Ahal', 'Balkan', 'Mary', 'Chardzhou'])]",
PAMIR,"[('ne', 'Tajikistan', ['Gorno-Badakhshan'])]",
CENTRAL_ASIA,"[('ne', 'Uzbekistan', None), ('ne', 'Turkmenistan', None), ('ne', 'Tajikistan', None), ('ne', 'Kyrgyzstan', None), ('ne', 'Kazakhstan', None)]","Средняя Азия целиком - возврат красного на срезы 1922-1930 (19.09.2026):
контур атласа «СССР 1922-1923» не держит Бухару и Хорезм (LATE_EDITS)"
DDR_1953_CHP,"[('file', 'satellite/ddr_1953_bez_zulya.geojson')]","--- сателлиты: окна прямого правления советских войск (22.09.2026) ------
ГДР 1953: чрезвычайное положение советских комендантов. Округа июня
1953 года - OpenHistoricalMap (без округа Зуль, где ЧП не вводилось),
Восточный Берлин - OHM «Ostberlin» 1951-1990, остальные города -
нынешние границы OSM (приближение городских округов 1953 года; Дессау и
Биттерфельд - старые города до слияний 2007 года). Выгрузка -
fetch_ddr1953.py в скретчпаде картографа, розыск -
MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/sat_dopolnenie_2026-09-22.md"
MEMELLAND,"[('file', 'borders/memelland_ohm_1920-1923.geojson')]","Мемельский край - прусский до Версаля, с 10.01.1920 под Антантой
(22.09.2026, BACKLOG Б6 п. 13). Контур 1920-1923 - OpenHistoricalMap"
DON_HOST,"[('file', 'steppe/don_host_1786.geojson')]","--- степь: самоуправные земли до госуправления (22.09.2026) ------------
Правило «контроль, а не акт», прецедент Запорожья (вычтено до разгрома
Сечи 04.05.1775): пока землёй правит свой круг или хан, а у империи на
ней только крепости-точки, земля не красная. Ответ куратора на строку
30 файла вопросов и розыски peresmotr_resheniy_2026-09-18/rozysk/
b_kazachi_voyska_don_yaik.md, b_kazachi_zemli_granitsy_2026-09-22.md,
b_kalmyki_1700-1771_2026-09-22.md. Геометрия - районы OSM (выгрузка
fetch_raions.py в скретчпаде картографа), описание в свойствах файлов"
KALMYK_KHANATE,"[('file', 'steppe/kalmyk_khanate.geojson')]",
YAIK_TOWNS,"[('file', 'steppe/yaik_uralsk_guryev.geojson')]",
DDR_1953_13,"[('file', 'satellite/ddr_1953_13_gorodov.geojson')]",
DDR_1953_3,"[('file', 'satellite/ddr_1953_3_goroda.geojson')]",
FINLAND,"[('ne', 'Finland', None)]",--- прочее ---------------------------------------------------------------
MOLDOVA,"[('ne', 'Moldova', None)]",
SAKHALIN,"[('ne', 'Russia', ['Sakhalin'])]",
TUVA,"[('ne', 'Russia', ['Tuva'])]",
ALASKA,"[('alaska',)]",
AMUR_LEFT,"[('ne', 'Russia', ['Amur', 'Yevrey']), ('ne_box', 'Russia', ['Khabarovsk'], (128.0, 40.0, 145.0, 54.5))]",
PRIMORYE,"[('ne', 'Russia', [""Primor'ye""])]",
