reg,frm,to,kind,name,act,src,clip,comment
RP92_NOWOGRODEK,1792-06-05,1794-04-21,оккупация,Речь Посполитая: Новогрудское воеводство,корпус Меллина вошёл в Новогрудок 05.06.1792; команды Слонима и Новогрудка стянуты к Гродно не позднее 21.04.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_NOWOGRODEK,1794-07-20,1795-10-13,оккупация,Речь Посполитая: Новогрудское воеводство,Слоним снова под российскими войсками не позднее 20.07.1794 (отряд Ласси),"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_BRZESC,1792-07-12,1794-04-23,оккупация,Речь Посполитая: Брестское воеводство,корпус Ферзена взял Брест 12.07.1792 после боя в окопах и на улицах; российский отряд бежал из Бреста в Пинск 23.04.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_BRZESC,1794-09-08,1795-10-13,оккупация,Речь Посполитая: Брестское воеводство,Суворов разбил корпус Сераковского у Бреста 08.09.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WOLYN_RIVNE,1792-06-16,1794-03-26,оккупация,"Речь Посполитая: Волынь (Острог, Дубно, Ровно)","Острог занят 16.06.1792, Дубно 21.06; «луцкий» корпус Денисова стоял на Волыни до марта 1794 года (26.03 его отряд уже под Скальмежем)","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WOLYN_VOLYN,1792-06-26,1794-03-26,оккупация,"Речь Посполитая: Волынь (Луцк, Владимир, Ковель)","полковник Салтыков выбил поляков из Владимира 26.06.1792, Волынская конфедерация в Луцке под защитой армии 28.06; «луцкий» корпус Денисова - до марта 1794 года","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_LUBLIN,1792-07-14,1794-03-26,оккупация,Речь Посполитая: Люблинское воеводство и Хелмская земля,"войска Каховского вошли в Люблин 14.07.1792; российские отряды в Люблине в мае 1793 (Милашевич) и в марте 1794 (Рахманов), гусары Волкова в Хелме в мае 1793; люблинский гарнизон разогнан Гроховским 26.03.1794","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WARSZAWA,1792-08-05,1794-04-06,оккупация,Речь Посполитая: Варшава,"армия Каховского встала лагерем у Варшавы 05.08.1792, в замке российские караулы с 08.08, с конца октября - постой в самом городе; восстание 06/07.04.1794","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_WARSZAWA,1794-10-29,1795-12-29,оккупация,Речь Посполитая: Варшава,войска вошли в Варшаву 29.10.1794 после штурма Праги; пруссаки заняли город 29.12.1795 (09.01.1796 н. ст.),"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_KRAKOW,1792-08-31,1794-03-12,оккупация,Речь Посполитая: Краков,Краков под российскими войсками не позднее 31.08.1792 (присоединение к Тарговице после занятия города); гарнизон Лыкошина ушёл в ночь на 12.03.1794,"СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
RP92_STREFA,1794-11-21,1795-12-29,оккупация,Речь Посполитая: зона российских войск после восстания,"рескрипт Екатерины II 21.11.1794: квартиры по Висле от устья Вепржа до устья Нарева, по Нареву и Бугу до Литвы; кордон от Влодавы по Вепржу; уход - одновременно с Варшавой (пруссаки в Варшаве 29.12.1795)","СИРИО т. 47 («Дела Польши 1792 года»); T. Korzon, «Kościuszko» (1906); «А. В. Суворов. Документы», т. III (1952); розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b7_rp_1792-1795_dni_2026-09-22.md",,
OCC8_FI13_EAST,1713-05-14,1721-10-22,оккупация,Финляндия: юг и восток (Великое лихолетье),высадка корпуса Апраксина у Борго 14.05.1713; Гельсингфорс занят окончательно 15.07.1713,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,"Финляндия 1713-1721 и 1742-1743, Восточная Пруссия 1757-1762, Кольберг
1761-1762 (пачка 8, 22.09.2026): оккупация по дням документов"
OCC8_FI13_HAME,1713-09-28,1721-10-22,оккупация,Финляндия: Хяме (Великое лихолетье),армия Апраксина пришла к Тавастгусу 28.09.1713 и нашла город оставленным,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI13_PIRKANMAA,1713-10-06,1721-10-22,оккупация,Финляндия: Пирканмаа (Великое лихолетье),бой при Пялькяне 06.10.1713: корпус Апраксина разбил Армфельта,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI13_TURKU,1714-02-01,1721-10-22,оккупация,Финляндия: Або и Бьёрнеборг (Великое лихолетье),пехота Брюса пришла из Бьёрнеборга в Або на квартиры 01.02.1714; с 1717 года краем правил генерал-губернатор Дуглас,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI13_SAVO,1714-07-29,1721-10-22,оккупация,Финляндия: Саво (Великое лихолетье),крепость Нейшлот сдалась отряду полковника Шувалова 29.07.1714,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI13_ALAND,1714-08-08,1721-10-22,оккупация,Финляндия: Аланд (Великое лихолетье),галерный флот Апраксина вступил на Аланд без сопротивления 08.08.1714,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI13_POHJANMAA,1714-09-16,1721-10-22,оккупация,Финляндия: Остроботния (Великое лихолетье),"отряд Брюса пришёл в Вазу 16.09.1714, в Гамлакарлебю 24.09",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_EAST,1742-06-28,1743-09-24,оккупация,Финляндия: Кюменлааксо и Южная Карелия (Малое лихолетье),"шведы оставили Фридрихсгам 28.06.1742, армия Ласси вошла в крепость",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_UUSIMAA,1742-07-30,1743-09-24,оккупация,Финляндия: Уусимаа (Малое лихолетье),армия Ласси заняла Борго 30.07.1742; капитуляция шведской армии у Гельсингфорса 24.08,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_SAVO,1742-08-07,1743-09-24,оккупация,Финляндия: Саво (Малое лихолетье),Нейшлот сдался отряду полковника Мещерского 07.08.1742,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_HAME,1742-08-26,1743-09-24,оккупация,Финляндия: Хяме (Малое лихолетье),сдача замка Тавастгус 26.08.1742,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_TURKU,1742-09-07,1743-09-24,оккупация,"Финляндия: Або, Бьёрнеборг, Пирканмаа (Малое лихолетье)","генерал-аншеф Кейт прибыл в Або и возглавил управление 07.09.1742; гражданское управление Кампенгаузена - с 09.01.1743, жители присягали",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI42_NORTH,1742-09-24,1743-09-24,оккупация,Финляндия: Остроботния и север до реки Кеми (Малое лихолетье),комендант Каянеборга сдал ключи 24.09.1742 - к этому дню занята вся страна до реки Кеми,ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_FI43_CESSION,1743-08-07,,территория,Кюменегорд и Нейшлот (Абоский мир),"Абоский мир 07.08.1743: Швеция уступает «Провинцию Кюменегоръ, съ находящимися въ оной городами и крепостями Фридрихсгамъ и Вильмансграндъ» и «городъ и крепость Нейшлотъ съ дистриктомъ»; землю держали с лета 1742 года (окна Малого лихолетья)",ПСЗРИ т. XI № 8766; OpenHistoricalMap relations 2809443 и 2851880; OSM 2673137 (Савонлинна),,
OCC8_MEMEL,1757-06-25,1762-07-26,оккупация,Восточная Пруссия: Мемель,"крепость Мемель капитулировала 25.06.1757, 27.06 - присяга жителей; гарнизон держался до конца оккупации",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_PRUSSIA,1758-01-11,1762-07-26,оккупация,Восточная Пруссия,"русские войска вступили в Кёнигсберг 11.01.1758, 13.01 - присяга Елизавете; генерал-губернаторы Фермор, Корф, В. И. Суворов, Панин, Воейков; власть сдана 26.07.1762",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC8_KOLBERG,1761-12-05,1762-07-26,оккупация,Кольберг,"комендант Хейде подписал капитуляцию корпусу Румянцева 05.12.1761, бюргерство присягнуло; последние русские ушли 26.07.1762",ПСЗРИ; «Походный журнал» 1713-1714; Тенгберг; Rambaud; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_finlyandiya_prussiya_2026-09-22.md,,
OCC9_ILI,1871-06-22,1882-03-10,оккупация,Илийский край (Кульджа),"отряд Колпаковского вошёл в Кульджу 22.06.1871, край управлялся напрямую: военный губернатор Семиреченской области, четыре участка с офицерами-начальниками; передан Китаю протоколом 10.03.1882","ПСЗ-2, ПСЗ-3; сборники договоров России с Китаем; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_manchzhuriya_ili_2026-09-22.md",,"Илийский край 1871-1882, Квантунская область 1898-1904 (пачка 9, 22.09.2026)"
OCC9_KWANTUNG_REST,1898-03-16,1904-05-14,оккупация,Квантунская область,флаг поднят на Золотой горе и в Талиенване 16.03.1898; по ст. IV конвенции 15.03.1898 вся военная власть и высшее гражданское управление - у России; Дальний оставлен в ночь на 14.05.1904,"ПСЗ-2, ПСЗ-3; сборники договоров России с Китаем; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_manchzhuriya_ili_2026-09-22.md",,
OCC9_KWANTUNG_LUSHUN,1898-03-16,1904-12-20,оккупация,Порт-Артур с крепостным районом,флаг на Золотой горе 16.03.1898; капитуляция Порт-Артура 20.12.1904,"ПСЗ-2, ПСЗ-3; сборники договоров России с Китаем; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_manchzhuriya_ili_2026-09-22.md",,
OCC10_MD_W_1769,1769-09-26,1774-10-10,оккупация,Молдавское княжество (1769-1774),"отряд Эльмпта вступил в Яссы 26.09.1769, бояре и духовенство присягнули, диван подчинён «главному командиру»; по Кючук-Кайнарджийскому миру к 10.10.1774 у русских остались только Бендеры и Хотин","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,"Молдавское и Валашское княжества 1769-1854 (пачка 10а, 22.09.2026)"
OCC10_MD_E,1769-09-26,1774-10-10,оккупация,Молдавское княжество восточнее Прута (1769-1774),то же княжество: присяга по всему княжеству в конце сентября 1769 года,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MUNTENIA,1770-11-14,1774-10-10,оккупация,Валашское княжество (1770-1774),бригадир Гудович вновь занял Бухарест 14.11.1770; председатель дивана - генерал-майор Замятин,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_OLTENIA,1770-12-28,1774-10-10,оккупация,Малая Валахия (1770-1774),"генерал-майор Кречетников занял Крайову 28.12.1770, жители приведены к присяге","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_RAYA_BRAILA,1770-11-10,1774-10-10,оккупация,райя Браилов (1770-1774),турки оставили Браилов после осады отрядом Глебова 10.11.1770,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_W,1788-08-24,1792-05-15,оккупация,Молдавское княжество (1788-1792),"с 24.08.1788 Яссы под русской командой, дела у дивана; вывод - к сроку трактата 15.05.1792","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_E,1788-08-24,1792-05-15,оккупация,Молдавское княжество восточнее Прута (1788-1792),то же княжество под русской командой,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_W,1806-11-16,1812-07-20,оккупация,Молдавское княжество (1806-1812),"войска вступили в Яссы 16.11.1806; председатели диванов Кушников, Красно-Милашевич; Дунайская армия Чичагова выступила из княжеств 20.07.1812","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_E,1806-11-16,1812-05-16,оккупация,Молдавское княжество восточнее Прута (1806-1812),войска в княжестве с 16.11.1806; с Бухарестского мира 16.05.1812 - Бессарабия в империи,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MUNTENIA,1806-12-13,1812-07-20,оккупация,Валашское княжество (1806-1812),войска вступили в Бухарест 13.12.1806; армия выступила из княжеств 20.07.1812,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_OLTENIA,1806-12-13,1812-07-20,оккупация,Малая Валахия (1806-1812),то же княжество: Бухарест 13.12.1806; армия выступила 20.07.1812,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_RAYA_BRAILA,1809-11-21,1812-07-20,оккупация,райя Браилов (1809-1812),Браилов сдался 21.11.1809,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_W,1828-04-25,1834-04-11,оккупация,Молдавское княжество (1828-1834),"войска перешли Прут и вступили в Яссы 25.04.1828, Пален в тот же день - председатель диванов; Киселёв оставил Яссы 11.04.1834","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MUNTENIA,1828-04-30,1834-04-11,оккупация,Валашское княжество (1828-1834),"Бухарест 30.04.1828; прямое управление Киселёва, Органический регламент; господари избраны в апреле 1834 года","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_OLTENIA,1828-05-09,1834-04-11,оккупация,Малая Валахия (1828-1834),Крайова 09.05.1828,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_RAYA_BRAILA,1828-06-07,1834-04-11,оккупация,райя Браилов (1828-1834),"Браилов сдался 07.06.1828, по Адрианопольскому миру возвращён Валахии","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MD_W,1853-06-21,1854-08-31,оккупация,Молдавское княжество (1853-1854),войска перешли Прут у Леово и Скулян 21.06.1853; с октября правит комиссар Будберг; Горчаков вышел из Ясс 31.08.1854,"А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_MUNTENIA,1853-07-03,1854-07-20,оккупация,Валашское княжество (1853-1854),"Бухарест занят 03.07.1853; господари уехали в Вену, правит комиссар Будберг; Бухарест оставлен 20.07.1854","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_RAYA_BRAILA,1853-07-03,1854-07-20,оккупация,Браилов (1853-1854),"с 1829 года Браилов - часть Валашского княжества; Бухарест занят 03.07.1853, оставлен 20.07.1854","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10_DOBRUJA_N,1854-03-12,1854-09-04,оккупация,Северная Добруджа (1854),"Мачин, Тульча, Исакча заняты 12.03.1854; главные силы перешли Прут обратно 04.09.1854","А. Н. Петров, «Война России с Турцией» (1866-1890); ПСЗ; розыск MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b8_dunay_bolgariya_2026-09-22.md",,
OCC10B_BG_RUSE,1810-09-15,1811-07-02,оккупация,Рущук (1810-1811),"Рущук и Журжа сдались 15.09.1810, войска вступили в 8 часов утра; Кутузов, подорвав часть цитадели, перешёл на левый берег Дуная 02.07.1811 (донесение из Журжи 22.07.1811; Петров, т. III)","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,"Болгария, Северная Добруджа, Восточная Фракия 1877-1879 и Рущук 1810-1811 (пачка 10б, 22.09.2026)"
OCC10_DOBRUJA_N,1877-07-01,1878-11-14,оккупация,Северная Добруджа (1877-1878),"14-й корпус переправился у Галаца и Рени 09-10.06.1877, Мачин 11.06; приказом 01.07.1877 учреждена Тульчинская губерния (губернатор Белоцерковец), санджак «занят в большей части» (Овсяный, т. I); передана Румынии - румынская колонна в Мачине 14.11.1878","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_VELIKO_TARNOVO,1877-07-01,1879-06-26,оккупация,Систовская и Тырновская губернии,"переправа у Свиштова 15.06.1877, Тырново 25.06; приказом 01.07.1877 учреждены губернии, Тырновский санджак «занят в большей части» (Овсяный, т. I); власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_GABROVO,1877-07-07,1879-06-26,оккупация,Габрово и Шипка,"перевал Шипка занят войсками VIII корпуса 07.07.1877 (телеграмма Гурко 08.07; «Описание…», т. III, ч. 1); к 25.07 работает Габровский округ (Овсяный, т. I); власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_STARA_ZAGORA,1877-07-10,1877-07-19,оккупация,Эски-Загра (1877),"отряд полк. Корево занял Эски-Загру 10.07.1877; турки вновь заняли город после сражения 19.07.1877 («Описание…», т. III, ч. 1)","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_LOVECH,1877-08-22,1879-06-26,оккупация,Ловеч,"Ловеч взят 22.08.1877 («Описание…», т. V: «Занятие города Ловчи»); власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_VRATSA,1877-10-28,1879-06-26,оккупация,Враца,"отряд ген.-м. Леонова 1-го взял Врацу штурмом 28.10.1877 («Описание…», т. VII, ч. 1); власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_PLEVEN,1877-11-28,1879-06-26,оккупация,Плевен,"капитуляция гарнизона Плевны 28.11.1877; власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
OCC10B_BG_MONTANA,1877-12-04,1879-06-26,оккупация,Берковица и Кутловица,"Кутловица занята харьковскими драгунами 02.12.1877, Берковица - 04.12.1877 («Описание…», т. VIII, ч. 1); Лом - румынский отряд, с 16.11.1877 в Раховской (Видинской) губернии; власть передана князю Александру I, присяга в Тырнове 26.06.1879","Н. Р. Овсяный, «Русское управление в Болгарии в 1877-78-79 гг.», т. I-III (1906-1907); «Описание русско-турецкой войны 1877-78 гг. на Балканском полуострове» (1901-1913); А. Н. Петров, «Война России с Турцией 1806-1812 гг.», т. III; розыски MAP-MATERIALS/peresmotr_resheniy_2026-09-18/rozysk/b10b_bolgariya_1877-1879_dni_2026-09-22.md, b10b_dunay_1809-1851_dni_2026-09-22.md",,
